Location,Region,TL,TR,reporting_date,sCh,cCh,deaths,CFR
AFR::CMR::North::Touboro Health District,North,2016-10-10,2016-10-16,2016-10-16,0,0,0,
AFR::CMR::Littoral::Abo Health District,Littoral,2016-10-10,2016-10-16,2016-10-16,0,0,0,
AFR::CMR::Centre::Cite Verte Health District,Centre,2019-02-11,2019-02-17,2019-02-17,0,0,0,
AFR::CMR::Centre::Nkolndongo Health District,Centre,2019-02-11,2019-02-17,2019-02-17,0,0,0,
AFR::CMR::Centre::Biyem Assi Health District,Centre,2019-02-11,2019-02-17,2019-02-17,0,0,0,
AFR::CMR::South-West::Nguti Health District,South-West,2015-06-29,2015-07-05,2015-07-05,124,57,1,1.75
AFR::CMR::East::Garoua Boulai Health District,East,2012-09-24,2012-09-30,2012-09-30,0,0,0,
AFR::CMR::East::Kette Health District,East,2012-09-24,2012-09-30,2012-09-30,0,0,0,
AFR::CMR::South::Djoum Health District,South,2010-08-09,2010-08-15,2010-08-15,0,0,0,
AFR::CMR::Far North::Roua Health District,Far North,2017-07-24,2017-07-30,2017-07-30,0,0,0,
AFR::CMR::Far North::Tokombere Health District,Far North,2017-07-24,2017-07-30,2017-07-30,137,47,1,2.13
AFR::CMR::Far North::Vele Health District,Far North,2017-07-24,2017-07-30,2017-07-30,0,0,0,
AFR::CMR::South::Mvangan Health District,South,2011-04-11,2011-04-17,2011-04-17,0,0,0,
AFR::CMR::Far North::Mokolo Health District,Far North,2010-10-25,2010-10-31,2010-10-31,0,0,0,
AFR::CMR::Littoral::Nkondjock Health District,Littoral,2015-12-07,2015-12-13,2015-12-13,0,0,0,
AFR::CMR::Adamaoua::(Ngaoundere Rural Health District|Ngaoundere Urban Health District),Adamaoua,2019-02-11,2019-02-17,2019-02-17,0,0,0,
AFR::CMR::Centre::Nkolbisson Health District,Centre,2019-02-11,2019-02-17,2019-02-17,0,0,0,
AFR::CMR::Adamaoua::Banyo Health District,Adamaoua,2019-02-11,2019-02-17,2019-02-17,0,0,0,
AFR::CMR::East::Mbang Health District,East,2014-01-20,2014-01-26,2014-01-26,0,0,0,
AFR::CMR::Adamaoua::Meiganga Health District,Adamaoua,2019-02-11,2019-02-17,2019-02-17,0,0,0,
AFR::CMR::Adamaoua::Tibati Health District,Adamaoua,2019-02-11,2019-02-17,2019-02-17,0,0,0,
AFR::CMR::East::Messamena Health District,East,2014-01-20,2014-01-26,2014-01-26,0,0,0,
AFR::CMR::Adamaoua::Tignere Health District,Adamaoua,2019-02-11,2019-02-17,2019-02-17,0,0,0,
AFR::CMR::East::Moloundou Health District,East,2014-01-20,2014-01-26,2014-01-26,0,0,0,
AFR::CMR::West::Bafoussam Health District,West,2019-02-04,2019-02-10,2019-02-10,0,0,0,
AFR::CMR::Far North::Fotokol Health District,Far North,2019-02-04,2019-02-10,2019-02-10,0,0,0,
AFR::CMR::East::Ndelele Health District,East,2014-01-20,2014-01-26,2014-01-26,0,0,0,
AFR::CMR::Adamaoua::Meiganga Health District,Adamaoua,2013-09-02,2013-09-08,2013-09-08,0,0,0,
AFR::CMR::Adamaoua::Ngaoundere Rural Health District,Adamaoua,2013-09-02,2013-09-08,2013-09-08,0,0,0,
AFR::CMR::Adamaoua::Ngaoundere Urban Health District,Adamaoua,2013-09-02,2013-09-08,2013-09-08,0,0,0,
AFR::CMR::Adamaoua::Tibati Health District,Adamaoua,2013-09-02,2013-09-08,2013-09-08,0,0,0,
AFR::CMR::Adamaoua::Tignere Health District,Adamaoua,2013-09-02,2013-09-08,2013-09-08,0,0,0,
AFR::CMR::South-West::Akwaya Health District,South-West,2013-08-26,2013-09-01,2013-09-01,0,0,0,
AFR::CMR::North-West::Santa Health District,North-West,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::North-West::Wum Health District,North-West,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::North::Bibemi Health District,North,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::North::Figuil Health District,North,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::North::Garoua 1 Health District,North,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::North::Garoua 2 Health District,North,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::North::Gaschiga Health District,North,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::South::Djoum Health District,South,2014-02-24,2014-03-02,2014-03-02,0,0,0,
AFR::CMR::South::Ebolowa Health District,South,2014-02-24,2014-03-02,2014-03-02,0,0,0,
AFR::CMR::South::Kribi Health District,South,2014-02-24,2014-03-02,2014-03-02,0,0,0,
AFR::CMR::South::Lolodorf Health District,South,2014-02-24,2014-03-02,2014-03-02,0,0,0,
AFR::CMR::South-West::Wabane Health District,South-West,2016-07-25,2016-07-31,2016-07-31,236,64,1,1.56
AFR::CMR::South::Ambam Health District,South,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::South::Djoum Health District,South,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::South::Ebolowa Health District,South,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::South::Kribi Health District,South,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::South::Lolodorf Health District,South,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::South::Meyomessala Health District,South,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::South::Mvangan Health District,South,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::South::Olamze Health District,South,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::South-West::Bangem Health District,South-West,2015-03-23,2015-03-29,2015-03-29,0,0,0,
AFR::CMR::South-West::Buea Health District,South-West,2015-03-23,2015-03-29,2015-03-29,45,14,0,0.0
AFR::CMR::East::Moloundou Health District,East,2013-11-11,2013-11-17,2013-11-17,24,0,0,
AFR::CMR::South-West::Ekondo Titi Health District,South-West,2015-03-23,2015-03-29,2015-03-29,0,0,0,
AFR::CMR::South-West::Eyumodjock Health District,South-West,2015-03-23,2015-03-29,2015-03-29,0,0,0,
AFR::CMR::East::Ndelele Health District,East,2013-11-11,2013-11-17,2013-11-17,0,0,0,
AFR::CMR::South-West::Fontem Health District,South-West,2015-03-23,2015-03-29,2015-03-29,0,0,0,
AFR::CMR::South-West::Konye Health District,South-West,2015-03-23,2015-03-29,2015-03-29,0,0,0,
AFR::CMR::East::Nguelemendouka Health District,East,2013-11-11,2013-11-17,2013-11-17,0,0,0,
AFR::CMR::South-West::Kumba Health District,South-West,2015-03-23,2015-03-29,2015-03-29,29,15,0,0.0
AFR::CMR::North-West::Kumbo West Health District,North-West,2014-05-19,2014-05-25,2014-05-25,0,0,0,
AFR::CMR::North-West::Mbengwi Health District,North-West,2014-05-19,2014-05-25,2014-05-25,0,0,0,
AFR::CMR::West::Massangam Health District,West,2013-05-06,2013-05-12,2013-05-12,264,0,0,
AFR::CMR::West::Mbouda Health District,West,2013-05-06,2013-05-12,2013-05-12,0,0,0,
AFR::CMR::North-West::Santa Health District,North-West,2012-12-31,2013-01-06,2013-01-06,0,0,0,
AFR::CMR::West::Mifi Health District,West,2013-05-06,2013-05-12,2013-05-12,0,0,0,
AFR::CMR::West::Penka Michel Health District,West,2013-05-06,2013-05-12,2013-05-12,0,0,0,
AFR::CMR::North-West::Tubah Health District,North-West,2012-12-31,2013-01-06,2013-01-06,0,0,0,
AFR::CMR::West::Santchou Health District,West,2013-05-06,2013-05-12,2013-05-12,0,0,0,
AFR::CMR::North-West::Ako Health District,North-West,2013-05-06,2013-05-12,2013-05-12,0,0,0,
AFR::CMR::North-West::Wum Health District,North-West,2012-12-31,2013-01-06,2013-01-06,12,0,0,
AFR::CMR::North-West::Bafut Health District,North-West,2013-05-06,2013-05-12,2013-05-12,0,0,0,
AFR::CMR::North-West::Bali Health District,North-West,2013-05-06,2013-05-12,2013-05-12,0,0,0,
AFR::CMR::North-West::Bamenda Health District,North-West,2013-05-06,2013-05-12,2013-05-12,0,0,0,
AFR::CMR::North-West::Batibo Health District,North-West,2013-05-06,2013-05-12,2013-05-12,0,0,0,
AFR::CMR::Littoral::Bonassama Health District,Littoral,2013-04-08,2013-04-14,2013-04-14,76,41,0,0.0
AFR::CMR::Littoral::Cite des palmiers Health District,Littoral,2013-04-08,2013-04-14,2013-04-14,0,0,0,
AFR::CMR::Littoral::Deido Health District,Littoral,2013-04-08,2013-04-14,2013-04-14,0,0,0,
AFR::CMR::Littoral::Dibombari Health District,Littoral,2013-04-08,2013-04-14,2013-04-14,0,0,0,
AFR::CMR::Littoral::Edea Health District,Littoral,2013-04-08,2013-04-14,2013-04-14,123,83,2,2.41
AFR::CMR::Littoral::Loum Health District,Littoral,2013-04-08,2013-04-14,2013-04-14,0,0,0,
AFR::CMR::West::Bangangte Health District,West,2011-05-16,2011-05-22,2011-05-22,0,0,0,
AFR::CMR::Far North::Yagoua Health District,Far North,2017-07-24,2017-07-30,2017-07-30,0,0,0,
AFR::CMR::Littoral::Deido Health District,Littoral,2016-10-10,2016-10-16,2016-10-16,50,0,0,
AFR::CMR::Centre::Akonolinga Health District,Centre,2017-07-24,2017-07-30,2017-07-30,74,39,1,2.56
AFR::CMR::Centre::Awae Health District,Centre,2017-07-24,2017-07-30,2017-07-30,0,0,0,
AFR::CMR::Littoral::Dibombari Health District,Littoral,2016-10-10,2016-10-16,2016-10-16,0,0,0,
AFR::CMR::Centre::Ayos Health District,Centre,2017-07-24,2017-07-30,2017-07-30,0,0,0,
AFR::CMR::Centre::Bafia Health District,Centre,2017-07-24,2017-07-30,2017-07-30,0,0,0,
AFR::CMR::Littoral::Edea Health District,Littoral,2016-10-10,2016-10-16,2016-10-16,0,0,0,
AFR::CMR::Centre::Ebebda Health District,Centre,2017-07-24,2017-07-30,2017-07-30,0,0,0,
AFR::CMR::Centre::Efoulan Health District,Centre,2017-07-24,2017-07-30,2017-07-30,0,0,0,
AFR::CMR::Littoral::Japoma Health District,Littoral,2016-10-10,2016-10-16,2016-10-16,103,64,2,3.12
AFR::CMR::Centre::Elig Mfomo Health District,Centre,2017-07-24,2017-07-30,2017-07-30,0,0,0,
AFR::CMR::North-West::Benakuma Health District,North-West,2017-04-10,2017-04-16,2017-04-16,0,0,0,
AFR::CMR::North-West::Fundong Health District,North-West,2017-04-10,2017-04-16,2017-04-16,27,0,0,
AFR::CMR::North-West::Kumbo East Health District,North-West,2017-04-10,2017-04-16,2017-04-16,0,0,0,
AFR::CMR::North-West::Mbengwi Health District,North-West,2017-04-10,2017-04-16,2017-04-16,0,0,0,
AFR::CMR::North-West::Ndop Health District,North-West,2017-04-10,2017-04-16,2017-04-16,0,0,0,
AFR::CMR::North-West::Njikwa Health District,North-West,2017-04-10,2017-04-16,2017-04-16,0,0,0,
AFR::CMR::North-West::Nkambe Health District,North-West,2017-04-10,2017-04-16,2017-04-16,0,0,0,
AFR::CMR::North-West::Nwa Health District,North-West,2017-04-10,2017-04-16,2017-04-16,0,0,0,
AFR::CMR::Littoral::Nylon Health District,Littoral,2015-12-07,2015-12-13,2015-12-13,0,0,0,
AFR::CMR::Littoral::Pouma Health District,Littoral,2015-12-07,2015-12-13,2015-12-13,0,0,0,
AFR::CMR::Littoral::Yabassi Health District,Littoral,2015-12-07,2015-12-13,2015-12-13,0,0,0,
AFR::CMR::East::Abong Mbang Health District,East,2015-12-07,2015-12-13,2015-12-13,0,0,0,
AFR::CMR::East::Batouri Health District,East,2015-12-07,2015-12-13,2015-12-13,0,0,0,
AFR::CMR::East::Bertoua Health District,East,2015-12-07,2015-12-13,2015-12-13,0,0,0,
AFR::CMR::East::Betare Oya Health District,East,2015-12-07,2015-12-13,2015-12-13,0,0,0,
AFR::CMR::East::Doume Health District,East,2015-12-07,2015-12-13,2015-12-13,0,0,0,
AFR::CMR::East::Garoua Boulai Health District,East,2015-12-07,2015-12-13,2015-12-13,0,0,0,
AFR::CMR::East::Kette Health District,East,2015-12-07,2015-12-13,2015-12-13,0,0,0,
AFR::CMR::East::Yokadouma Health District,East,2012-09-03,2012-09-09,2012-09-09,0,0,0,
AFR::CMR::East::Batouri Health District,East,2012-09-03,2012-09-09,2012-09-09,78,43,1,2.33
AFR::CMR::Far North::Bogo Health District,Far North,2012-09-03,2012-09-09,2012-09-09,0,0,0,
AFR::CMR::Far North::Bourha Health District,Far North,2012-09-03,2012-09-09,2012-09-09,0,0,0,
AFR::CMR::Far North::Goulfey Health District,Far North,2012-09-03,2012-09-09,2012-09-09,0,0,0,
AFR::CMR::Far North::Guere Health District,Far North,2012-09-03,2012-09-09,2012-09-09,0,0,0,
AFR::CMR::Far North::Guidiguis Health District,Far North,2012-09-03,2012-09-09,2012-09-09,0,0,0,
AFR::CMR::Littoral::Nkongsamba Health District,Littoral,2015-02-09,2015-02-15,2015-02-15,0,0,0,
AFR::CMR::South::Olamze Health District,South,2011-04-11,2011-04-17,2011-04-17,0,0,0,
AFR::CMR::Littoral::Nylon Health District,Littoral,2015-02-09,2015-02-15,2015-02-15,0,0,0,
AFR::CMR::South::Sangmelima Health District,South,2011-04-11,2011-04-17,2011-04-17,0,0,0,
AFR::CMR::Littoral::Yabassi Health District,Littoral,2015-02-09,2015-02-15,2015-02-15,0,0,0,
AFR::CMR::West::Mbouda Health District,West,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::West::Mifi Health District,West,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::West::Penka Michel Health District,West,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::West::Santchou Health District,West,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::North-West::Ako Health District,North-West,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::North-West::Bafut Health District,North-West,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::North-West::Bali Health District,North-West,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::North-West::Bamenda Health District,North-West,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::North-West::Batibo Health District,North-West,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::North-West::Benakuma Health District,North-West,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::North-West::Fundong Health District,North-West,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::North-West::Batibo Health District,North-West,2013-07-29,2013-08-04,2013-08-04,0,0,0,
AFR::CMR::North::Lagdo Health District,North,2011-07-25,2011-07-31,2011-07-31,45,30,1,3.33
AFR::CMR::North::Figuil Health District,North,2011-07-25,2011-07-31,2011-07-31,0,0,0,
AFR::CMR::North::Bibemi Health District,North,2011-07-25,2011-07-31,2011-07-31,87,55,3,5.45
AFR::CMR::Far North::Mindif Health District,Far North,2013-01-28,2013-02-03,2013-02-03,0,0,0,
AFR::CMR::Far North::Mogode Health District,Far North,2013-01-28,2013-02-03,2013-02-03,0,0,0,
AFR::CMR::Far North::Mokolo Health District,Far North,2013-01-28,2013-02-03,2013-02-03,0,0,0,
AFR::CMR::Far North::Mora Health District,Far North,2013-01-28,2013-02-03,2013-02-03,0,0,0,
AFR::CMR::Far North::Moulvoudaye Health District,Far North,2013-01-28,2013-02-03,2013-02-03,0,0,0,
AFR::CMR::Far North::Moutourwa Health District,Far North,2013-01-28,2013-02-03,2013-02-03,0,0,0,
AFR::CMR::Far North::Pette Health District,Far North,2013-01-28,2013-02-03,2013-02-03,20,9,0,0.0
AFR::CMR::Far North::Roua Health District,Far North,2013-01-28,2013-02-03,2013-02-03,0,0,0,
AFR::CMR::Far North::Vele Health District,Far North,2013-01-28,2013-02-03,2013-02-03,0,0,0,
AFR::CMR::Centre::Okola Health District,Centre,2010-11-22,2010-11-28,2010-11-28,0,0,0,
AFR::CMR::Centre::Saa Health District,Centre,2010-11-22,2010-11-28,2010-11-28,0,0,0,
AFR::CMR::Centre::Soa Health District,Centre,2010-11-22,2010-11-28,2010-11-28,0,0,0,
AFR::CMR::Centre::Djoungolo Health District,Centre,2010-11-22,2010-11-28,2010-11-28,0,0,0,
AFR::CMR::Centre::Cite Verte Health District,Centre,2010-11-22,2010-11-28,2010-11-28,0,0,0,
AFR::CMR::Centre::Nkolndongo Health District,Centre,2010-11-22,2010-11-28,2010-11-28,0,0,0,
AFR::CMR::Centre::Biyem Assi Health District,Centre,2010-11-22,2010-11-28,2010-11-28,0,0,0,
AFR::CMR::Centre::Yoko Health District,Centre,2010-11-22,2010-11-28,2010-11-28,0,0,0,
AFR::CMR::Adamaoua::Bankim Health District,Adamaoua,2010-11-22,2010-11-28,2010-11-28,0,0,0,
AFR::CMR::Adamaoua::Banyo Health District,Adamaoua,2010-11-22,2010-11-28,2010-11-28,0,0,0,
AFR::CMR::Adamaoua::Djohong Health District,Adamaoua,2010-11-22,2010-11-28,2010-11-28,0,0,0,
AFR::CMR::Adamaoua::Ngaoundere Rural Health District,Adamaoua,2010-11-22,2010-11-28,2010-11-28,0,0,0,
AFR::CMR::South::Kribi Health District,South,2015-05-11,2015-05-17,2015-05-17,0,0,0,
AFR::CMR::Littoral::Nkongsamba Health District,Littoral,2013-10-14,2013-10-20,2013-10-20,0,0,0,
AFR::CMR::South::Lolodorf Health District,South,2015-05-11,2015-05-17,2015-05-17,0,0,0,
AFR::CMR::South::Meyomessala Health District,South,2015-05-11,2015-05-17,2015-05-17,0,0,0,
AFR::CMR::South::Olamze Health District,South,2013-09-23,2013-09-29,2013-09-29,61,0,0,
AFR::CMR::South::Sangmelima Health District,South,2013-09-23,2013-09-29,2013-09-29,0,0,0,
AFR::CMR::South::Zoetele Health District,South,2013-09-23,2013-09-29,2013-09-29,0,0,0,
AFR::CMR::West::Bafang Health District,West,2013-09-23,2013-09-29,2013-09-29,0,0,0,
AFR::CMR::West::Baham Health District,West,2013-09-23,2013-09-29,2013-09-29,0,0,0,
AFR::CMR::West::Bamendjou Health District,West,2013-09-23,2013-09-29,2013-09-29,0,0,0,
AFR::CMR::West::Bandja Health District,West,2013-09-23,2013-09-29,2013-09-29,130,63,3,4.76
AFR::CMR::West::Bandjoun Health District,West,2013-09-23,2013-09-29,2013-09-29,0,0,0,
AFR::CMR::West::Bangangte Health District,West,2013-09-23,2013-09-29,2013-09-29,0,0,0,
AFR::CMR::Littoral::Nylon Health District,Littoral,2012-10-29,2012-11-04,2012-11-04,0,0,0,
AFR::CMR::Littoral::Pouma Health District,Littoral,2012-10-29,2012-11-04,2012-11-04,53,34,1,2.94
AFR::CMR::Littoral::Yabassi Health District,Littoral,2012-10-29,2012-11-04,2012-11-04,0,0,0,
AFR::CMR::East::Abong Mbang Health District,East,2012-10-29,2012-11-04,2012-11-04,27,15,0,0.0
AFR::CMR::East::Batouri Health District,East,2012-10-29,2012-11-04,2012-11-04,0,0,0,
AFR::CMR::West::Santchou Health District,West,2010-04-05,2010-04-11,2010-04-11,48,21,0,0.0
AFR::CMR::North-West::Ako Health District,North-West,2010-04-05,2010-04-11,2010-04-11,0,0,0,
AFR::CMR::North-West::Bafut Health District,North-West,2010-04-05,2010-04-11,2010-04-11,42,18,0,0.0
AFR::CMR::North-West::Bali Health District,North-West,2010-04-05,2010-04-11,2010-04-11,0,0,0,
AFR::CMR::Far North::Bogo Health District,Far North,2011-02-07,2011-02-13,2011-02-13,0,0,0,
AFR::CMR::Far North::Bourha Health District,Far North,2011-02-07,2011-02-13,2011-02-13,0,0,0,
AFR::CMR::Far North::Goulfey Health District,Far North,2011-02-07,2011-02-13,2011-02-13,0,0,0,
AFR::CMR::Far North::Guere Health District,Far North,2011-02-07,2011-02-13,2011-02-13,0,0,0,
AFR::CMR::Far North::Guidiguis Health District,Far North,2011-02-07,2011-02-13,2011-02-13,0,0,0,
AFR::CMR::Far North::Kaele Health District,Far North,2011-02-07,2011-02-13,2011-02-13,0,0,0,
AFR::CMR::Far North::Kar Hay Health District,Far North,2011-02-07,2011-02-13,2011-02-13,0,0,0,
AFR::CMR::Far North::Kolofata Health District,Far North,2011-02-07,2011-02-13,2011-02-13,0,0,0,
AFR::CMR::West::Foumbot Health District,West,2018-11-19,2018-11-25,2018-11-25,0,0,0,
AFR::CMR::West::Kekem Health District,West,2018-11-19,2018-11-25,2018-11-25,0,0,0,
AFR::CMR::West::Malantouen Health District,West,2018-11-19,2018-11-25,2018-11-25,0,0,0,
AFR::CMR::West::Mbouda Health District,West,2018-11-19,2018-11-25,2018-11-25,0,0,0,
AFR::CMR::West::Mifi Health District,West,2018-11-19,2018-11-25,2018-11-25,0,0,0,
AFR::CMR::West::Penka Michel Health District,West,2018-11-19,2018-11-25,2018-11-25,32,17,0,0.0
AFR::CMR::East::Lomie Health District,East,2012-09-24,2012-09-30,2012-09-30,0,0,0,
AFR::CMR::East::Mbang Health District,East,2012-09-24,2012-09-30,2012-09-30,47,20,0,0.0
AFR::CMR::East::Yokadouma Health District,East,2013-03-04,2013-03-10,2013-03-10,0,0,0,
AFR::CMR::Far North::Bogo Health District,Far North,2013-03-04,2013-03-10,2013-03-10,0,0,0,
AFR::CMR::Far North::Bourha Health District,Far North,2013-03-04,2013-03-10,2013-03-10,18,10,0,0.0
AFR::CMR::Far North::Goulfey Health District,Far North,2013-03-04,2013-03-10,2013-03-10,0,0,0,
AFR::CMR::Far North::Guere Health District,Far North,2013-03-04,2013-03-10,2013-03-10,76,0,0,
AFR::CMR::Adamaoua::Ngaoundere Rural Health District,Adamaoua,2011-06-20,2011-06-26,2011-06-26,44,26,1,3.85
AFR::CMR::Adamaoua::Ngaoundere Urban Health District,Adamaoua,2011-06-20,2011-06-26,2011-06-26,0,0,0,
AFR::CMR::Adamaoua::Tibati Health District,Adamaoua,2011-06-20,2011-06-26,2011-06-26,0,0,0,
AFR::CMR::Adamaoua::Tignere Health District,Adamaoua,2011-06-20,2011-06-26,2011-06-26,0,0,0,
AFR::CMR::South-West::Akwaya Health District,South-West,2011-06-13,2011-06-19,2011-06-19,0,0,0,
AFR::CMR::South-West::Bakassi Health District,South-West,2011-06-13,2011-06-19,2011-06-19,0,0,0,
AFR::CMR::South-West::Bangem Health District,South-West,2011-06-13,2011-06-19,2011-06-19,0,0,0,
AFR::CMR::South-West::Eyumodjock Health District,South-West,2011-06-13,2011-06-19,2011-06-19,0,0,0,
AFR::CMR::South-West::Fontem Health District,South-West,2011-06-13,2011-06-19,2011-06-19,0,0,0,
AFR::CMR::South-West::Konye Health District,South-West,2011-06-13,2011-06-19,2011-06-19,37,16,0,0.0
AFR::CMR::South-West::Mamfe Health District,South-West,2011-06-13,2011-06-19,2011-06-19,0,0,0,
AFR::CMR::North::Garoua 2 Health District,North,2015-08-10,2015-08-16,2015-08-16,0,0,0,
AFR::CMR::West::Bandja Health District,West,2010-03-01,2010-03-07,2010-03-07,0,0,0,
AFR::CMR::West::Bandjoun Health District,West,2010-03-01,2010-03-07,2010-03-07,0,0,0,
AFR::CMR::West::Bangangte Health District,West,2010-03-01,2010-03-07,2010-03-07,0,0,0,
AFR::CMR::West::Bangourain Health District,West,2010-03-01,2010-03-07,2010-03-07,0,0,0,
AFR::CMR::West::Batcham Health District,West,2010-03-01,2010-03-07,2010-03-07,0,0,0,
AFR::CMR::West::Dschang Health District,West,2010-03-01,2010-03-07,2010-03-07,0,0,0,
AFR::CMR::West::Foumban Health District,West,2010-03-01,2010-03-07,2010-03-07,0,0,0,
AFR::CMR::West::Foumbot Health District,West,2010-03-01,2010-03-07,2010-03-07,0,0,0,
AFR::CMR::East::Messamena Health District,East,2012-09-24,2012-09-30,2012-09-30,0,0,0,
AFR::CMR::East::Moloundou Health District,East,2012-09-24,2012-09-30,2012-09-30,0,0,0,
AFR::CMR::East::Ndelele Health District,East,2012-09-24,2012-09-30,2012-09-30,0,0,0,
AFR::CMR::East::Nguelemendouka Health District,East,2012-09-24,2012-09-30,2012-09-30,0,0,0,
AFR::CMR::East::Yokadouma Health District,East,2012-09-24,2012-09-30,2012-09-30,0,0,0,
