reporting_date,TL,TR,sCh,cCh,deaths,CFR,Region
2010-11-14,11/8/2010,11/14/2010,1653,502,9,1.7928286852589643,Cameroon
2010-11-21,11/15/2010,11/21/2010,1469,607,10,1.6474464579901154,Cameroon
2010-11-28,11/22/2010,11/28/2010,736,319,8,2.507836990595611,Cameroon
2010-12-05,11/29/2010,12/5/2010,854,263,6,2.2813688212927756,Cameroon
2010-12-12,12/6/2010,12/12/2010,766,233,4,1.7167381974248928,Cameroon
2010-12-19,12/13/2010,12/19/2010,365,99,1,1.0101010101010102,Cameroon
2010-12-26,12/20/2010,12/26/2010,543,122,2,1.639344262295082,Cameroon
2010-12-31,5/6/2010,12/31/2010,995,125,8,6.4,Cameroon
2011-01-02,12/27/2010,1/2/2011,425,76,0,0.0,Cameroon
2011-01-09,1/3/2011,1/9/2011,509,153,3,1.9607843137254901,Cameroon
2011-01-16,1/10/2011,1/16/2011,743,187,4,2.13903743315508,Cameroon
2011-01-23,1/17/2011,1/23/2011,745,228,2,0.8771929824561403,Cameroon
2011-01-30,1/24/2011,1/30/2011,503,170,4,2.3529411764705883,Cameroon
2011-02-06,1/31/2011,2/6/2011,1217,391,6,1.5345268542199488,Cameroon
2011-02-13,2/7/2011,2/13/2011,587,203,3,1.477832512315271,Cameroon
2011-02-20,2/14/2011,2/20/2011,1227,319,5,1.5673981191222568,Cameroon
2011-02-27,2/21/2011,2/27/2011,1524,488,10,2.0491803278688523,Cameroon
2011-03-06,2/28/2011,3/6/2011,1406,504,11,2.1825396825396823,Cameroon
2011-03-13,3/7/2011,3/13/2011,1376,421,6,1.4251781472684086,Cameroon
2011-03-20,3/14/2011,3/20/2011,1335,482,14,2.904564315352697,Cameroon
2011-03-27,3/21/2011,3/27/2011,1678,546,10,1.8315018315018317,Cameroon
2011-04-03,3/28/2011,4/3/2011,1765,579,6,1.0362694300518136,Cameroon
2011-04-10,4/4/2011,4/10/2011,2390,789,14,1.7743979721166032,Cameroon
2011-04-17,4/11/2011,4/17/2011,1705,563,11,1.9538188277087036,Cameroon
2011-04-24,4/18/2011,4/24/2011,2301,751,15,1.9973368841544608,Cameroon
2011-05-01,4/25/2011,5/1/2011,2261,788,17,2.1573604060913705,Cameroon
2011-05-08,5/2/2011,5/8/2011,2166,703,15,2.1337126600284493,Cameroon
2011-05-15,5/9/2011,5/15/2011,2541,885,23,2.598870056497175,Cameroon
2011-05-22,5/16/2011,5/22/2011,2454,746,18,2.4128686327077746,Cameroon
2011-05-29,5/23/2011,5/29/2011,3217,816,21,2.5735294117647056,Cameroon
2011-06-05,5/30/2011,6/5/2011,3343,1072,22,2.0522388059701493,Cameroon
2011-06-12,6/6/2011,6/12/2011,2898,892,15,1.6816143497757847,Cameroon
2011-06-19,6/13/2011,6/19/2011,2878,925,23,2.4864864864864864,Cameroon
2011-06-26,6/20/2011,6/26/2011,3657,1206,27,2.2388059701492535,Cameroon
2011-07-03,6/27/2011,7/3/2011,3404,1176,24,2.0408163265306123,Cameroon
2011-07-10,7/4/2011,7/10/2011,3761,1247,29,2.3255813953488373,Cameroon
2011-07-17,7/11/2011,7/17/2011,4103,1205,30,2.4896265560165975,Cameroon
2011-07-24,7/18/2011,7/24/2011,3883,1268,30,2.365930599369085,Cameroon
2011-07-31,12/1/2010,7/31/2011,143,94,7,7.446808510638298,Cameroon
2011-07-31,7/25/2011,7/31/2011,2923,783,19,2.4265644955300125,Cameroon
2011-08-07,8/1/2011,8/7/2011,4120,1331,37,2.779864763335838,Cameroon
2011-08-12,6/1/2011,8/12/2011,144,0,0,,Cameroon
2011-08-14,8/8/2011,8/14/2011,5237,2208,42,1.9021739130434785,Cameroon
2011-08-21,8/15/2011,8/21/2011,3747,1243,24,1.9308125502815767,Cameroon
2011-08-28,8/22/2011,8/28/2011,4309,1314,24,1.82648401826484,Cameroon
2011-09-04,8/29/2011,9/4/2011,3915,1185,24,2.0253164556962027,Cameroon
2011-09-11,9/5/2011,9/11/2011,4649,1524,29,1.9028871391076114,Cameroon
2011-09-18,9/12/2011,9/18/2011,4786,1740,40,2.2988505747126435,Cameroon
2011-09-22,1/1/2011,9/22/2011,15976,3252,231,7.103321033210332,Cameroon
2011-09-25,9/19/2011,9/25/2011,3696,1111,31,2.7902790279027903,Cameroon
2011-10-02,9/26/2011,10/2/2011,3495,971,23,2.368692070030896,Cameroon
2011-10-09,10/3/2011,10/9/2011,3140,916,28,3.056768558951965,Cameroon
2011-10-16,10/10/2011,10/16/2011,4231,1516,32,2.1108179419525066,Cameroon
2011-10-23,10/17/2011,10/23/2011,2843,1025,19,1.8536585365853657,Cameroon
2011-10-30,10/24/2011,10/30/2011,2614,1025,19,1.8536585365853657,Cameroon
2011-11-06,10/31/2011,11/6/2011,1841,643,9,1.3996889580093312,Cameroon
2011-11-13,11/7/2011,11/13/2011,1790,473,11,2.3255813953488373,Cameroon
2011-11-20,11/14/2011,11/20/2011,1204,439,8,1.8223234624145785,Cameroon
2011-11-27,11/21/2011,11/27/2011,659,204,1,0.49019607843137253,Cameroon
2011-12-04,11/28/2011,12/4/2011,487,196,2,1.0204081632653061,Cameroon
2011-12-11,9/23/2011,12/11/2011,5000,1695,85,5.014749262536873,Cameroon
2011-12-18,12/12/2011,12/18/2011,599,174,4,2.2988505747126435,Cameroon
2011-12-25,12/19/2011,12/25/2011,529,100,0,0.0,Cameroon
2012-01-01,12/26/2011,1/1/2012,367,88,2,2.272727272727273,Cameroon
2012-01-08,1/2/2012,1/8/2012,292,58,1,1.7241379310344827,Cameroon
2012-01-15,1/9/2012,1/15/2012,524,174,3,1.7241379310344827,Cameroon
2012-01-22,1/16/2012,1/22/2012,881,136,2,1.4705882352941175,Cameroon
2012-01-29,1/23/2012,1/29/2012,661,212,3,1.4150943396226416,Cameroon
2012-02-05,1/30/2012,2/5/2012,814,230,4,1.7391304347826086,Cameroon
2012-02-12,2/6/2012,2/12/2012,504,118,1,0.847457627118644,Cameroon
2012-02-19,2/13/2012,2/19/2012,758,301,3,0.9966777408637874,Cameroon
2012-02-26,2/20/2012,2/26/2012,617,206,1,0.48543689320388345,Cameroon
2012-03-04,2/27/2012,3/4/2012,543,183,3,1.639344262295082,Cameroon
2012-03-11,3/5/2012,3/11/2012,549,164,2,1.2195121951219512,Cameroon
2012-03-18,3/12/2012,3/18/2012,1030,239,2,0.8368200836820083,Cameroon
2012-03-25,3/19/2012,3/25/2012,280,42,0,0.0,Cameroon
2012-04-01,3/26/2012,4/1/2012,910,280,5,1.7857142857142856,Cameroon
2012-04-08,4/2/2012,4/8/2012,910,374,5,1.3368983957219251,Cameroon
2012-04-15,4/9/2012,4/15/2012,800,281,3,1.0676156583629894,Cameroon
2012-04-22,4/16/2012,4/22/2012,963,295,3,1.0169491525423728,Cameroon
2012-04-29,4/23/2012,4/29/2012,709,255,3,1.1764705882352942,Cameroon
2012-05-06,4/30/2012,5/6/2012,1660,488,8,1.639344262295082,Cameroon
2012-05-13,5/7/2012,5/13/2012,1569,494,9,1.8218623481781375,Cameroon
2012-05-20,5/14/2012,5/20/2012,937,372,7,1.881720430107527,Cameroon
2012-05-27,5/21/2012,5/27/2012,1151,345,6,1.7391304347826086,Cameroon
2012-06-03,5/28/2012,6/3/2012,2262,722,12,1.662049861495845,Cameroon
2012-06-10,6/4/2012,6/10/2012,1026,361,3,0.8310249307479225,Cameroon
2012-06-11,8/1/2011,6/11/2012,0,0,0,,Cameroon
2012-06-17,6/11/2012,6/17/2012,1524,682,16,2.346041055718475,Cameroon
2012-06-24,6/18/2012,6/24/2012,1754,593,13,2.1922428330522767,Cameroon
2012-07-01,6/25/2012,7/1/2012,1731,705,19,2.6950354609929077,Cameroon
2012-07-08,7/2/2012,7/8/2012,2127,555,6,1.0810810810810811,Cameroon
2012-07-15,7/9/2012,7/15/2012,1189,434,8,1.8433179723502304,Cameroon
2012-07-22,7/16/2012,7/22/2012,1206,309,6,1.9417475728155338,Cameroon
2012-07-29,7/23/2012,7/29/2012,1079,328,4,1.2195121951219512,Cameroon
2012-08-05,7/30/2012,8/5/2012,2344,984,18,1.8292682926829267,Cameroon
2012-08-12,8/6/2012,8/12/2012,1251,437,8,1.8306636155606408,Cameroon
2012-08-19,8/13/2012,8/19/2012,1383,442,15,3.3936651583710407,Cameroon
2012-08-26,8/20/2012,8/26/2012,1734,399,8,2.0050125313283207,Cameroon
2012-09-02,8/27/2012,9/2/2012,2149,836,14,1.674641148325359,Cameroon
2012-09-09,9/3/2012,9/9/2012,2101,685,16,2.335766423357664,Cameroon
2012-09-16,9/10/2012,9/16/2012,1542,537,8,1.48975791433892,Cameroon
2012-09-23,9/17/2012,9/23/2012,1344,519,10,1.9267822736030826,Cameroon
2012-09-30,9/24/2012,9/30/2012,1682,709,15,2.1156558533145273,Cameroon
2012-10-07,10/1/2012,10/7/2012,1626,554,11,1.9855595667870036,Cameroon
2012-10-14,10/8/2012,10/14/2012,1762,599,6,1.001669449081803,Cameroon
2012-10-21,10/15/2012,10/21/2012,1664,593,9,1.5177065767284992,Cameroon
2012-10-28,10/22/2012,10/28/2012,1961,720,12,1.6666666666666667,Cameroon
2012-11-04,10/29/2012,11/4/2012,1769,736,10,1.358695652173913,Cameroon
2012-11-11,11/5/2012,11/11/2012,977,397,8,2.0151133501259446,Cameroon
2012-11-18,11/12/2012,11/18/2012,568,114,1,0.8771929824561403,Cameroon
2012-11-25,11/19/2012,11/25/2012,691,274,2,0.7299270072992701,Cameroon
2012-12-02,11/26/2012,12/2/2012,641,227,4,1.762114537444934,Cameroon
2012-12-09,12/3/2012,12/9/2012,606,176,1,0.5681818181818182,Cameroon
2012-12-16,12/10/2012,12/16/2012,397,112,0,0.0,Cameroon
2012-12-23,12/17/2012,12/23/2012,429,132,1,0.7575757575757576,Cameroon
2012-12-30,12/24/2012,12/30/2012,408,109,1,0.9174311926605505,Cameroon
2013-01-06,12/31/2012,1/6/2013,415,154,0,0.0,Cameroon
2013-01-13,1/7/2013,1/13/2013,266,121,2,1.6528925619834711,Cameroon
2013-01-20,1/14/2013,1/20/2013,355,140,2,1.4285714285714286,Cameroon
2013-01-27,1/21/2013,1/27/2013,575,160,2,1.25,Cameroon
2013-02-03,1/28/2013,2/3/2013,511,169,1,0.591715976331361,Cameroon
2013-02-10,2/4/2013,2/10/2013,737,230,4,1.7391304347826086,Cameroon
2013-02-17,2/11/2013,2/17/2013,199,52,3,5.769230769230769,Cameroon
2013-02-24,2/18/2013,2/24/2013,411,109,1,0.9174311926605505,Cameroon
2013-03-03,2/25/2013,3/3/2013,812,202,1,0.49504950495049505,Cameroon
2013-03-10,3/4/2013,3/10/2013,876,164,3,1.8292682926829267,Cameroon
2013-03-17,3/11/2013,3/17/2013,1128,306,4,1.3071895424836601,Cameroon
2013-03-24,3/18/2013,3/24/2013,663,267,4,1.4981273408239701,Cameroon
2013-03-31,3/25/2013,3/31/2013,915,358,8,2.2346368715083798,Cameroon
2013-04-07,4/1/2013,4/7/2013,1009,281,2,0.7117437722419928,Cameroon
2013-04-14,4/8/2013,4/14/2013,1779,498,7,1.4056224899598393,Cameroon
2013-04-21,4/15/2013,4/21/2013,1089,277,3,1.083032490974729,Cameroon
2013-04-28,4/22/2013,4/28/2013,925,319,6,1.8808777429467085,Cameroon
2013-05-05,4/29/2013,5/5/2013,837,297,4,1.3468013468013467,Cameroon
2013-05-12,5/6/2013,5/12/2013,1525,368,7,1.9021739130434785,Cameroon
2013-05-19,5/13/2013,5/19/2013,2229,674,11,1.6320474777448073,Cameroon
2013-05-26,5/20/2013,5/26/2013,1295,398,8,2.0100502512562812,Cameroon
2013-06-02,5/27/2013,6/2/2013,1430,573,9,1.5706806282722512,Cameroon
2013-06-09,6/3/2013,6/9/2013,1099,363,8,2.203856749311295,Cameroon
2013-06-16,6/10/2013,6/16/2013,1190,389,7,1.7994858611825193,Cameroon
2013-06-23,6/17/2013,6/23/2013,1925,854,17,1.9906323185011712,Cameroon
2013-06-30,6/24/2013,6/30/2013,1539,694,20,2.881844380403458,Cameroon
2013-07-07,7/1/2013,7/7/2013,1463,434,6,1.3824884792626728,Cameroon
2013-07-14,7/8/2013,7/14/2013,2424,715,11,1.5384615384615385,Cameroon
2013-07-21,7/15/2013,7/21/2013,1296,342,5,1.461988304093567,Cameroon
2013-07-28,7/22/2013,7/28/2013,1609,623,13,2.086677367576244,Cameroon
2013-08-04,7/29/2013,8/4/2013,1502,599,11,1.8363939899833055,Cameroon
2013-08-11,8/5/2013,8/11/2013,1100,190,4,2.1052631578947367,Cameroon
2013-08-18,8/12/2013,8/18/2013,1222,567,8,1.4109347442680775,Cameroon
2013-08-25,8/19/2013,8/25/2013,1379,522,6,1.1494252873563218,Cameroon
2013-09-01,8/26/2013,9/1/2013,2478,682,16,2.346041055718475,Cameroon
2013-09-08,9/2/2013,9/8/2013,592,112,1,0.8928571428571428,Cameroon
2013-09-15,9/9/2013,9/15/2013,1571,431,5,1.160092807424594,Cameroon
2013-09-22,9/16/2013,9/22/2013,1377,561,10,1.7825311942959003,Cameroon
2013-09-29,9/23/2013,9/29/2013,3024,1211,25,2.064409578860446,Cameroon
2013-10-06,9/30/2013,10/6/2013,1246,391,9,2.3017902813299234,Cameroon
2013-10-13,10/7/2013,10/13/2013,1114,212,5,2.358490566037736,Cameroon
2013-10-20,10/14/2013,10/20/2013,2112,847,14,1.6528925619834711,Cameroon
2013-10-27,10/21/2013,10/27/2013,1711,537,10,1.86219739292365,Cameroon
2013-11-03,10/28/2013,11/3/2013,565,165,2,1.2121212121212122,Cameroon
2013-11-10,11/4/2013,11/10/2013,570,199,3,1.507537688442211,Cameroon
2013-11-17,11/11/2013,11/17/2013,2301,764,17,2.225130890052356,Cameroon
2013-11-24,11/18/2013,11/24/2013,1175,334,5,1.4970059880239521,Cameroon
2013-12-01,11/25/2013,12/1/2013,742,195,3,1.5384615384615385,Cameroon
2013-12-08,12/2/2013,12/8/2013,789,276,3,1.0869565217391304,Cameroon
2013-12-15,12/9/2013,12/15/2013,558,174,2,1.1494252873563218,Cameroon
2013-12-22,12/16/2013,12/22/2013,507,190,2,1.0526315789473684,Cameroon
2013-12-29,12/23/2013,12/29/2013,390,138,1,0.7246376811594203,Cameroon
2014-01-05,12/30/2013,1/5/2014,433,153,2,1.3071895424836601,Cameroon
2014-01-12,1/6/2014,1/12/2014,386,140,0,0.0,Cameroon
2014-01-19,1/13/2014,1/19/2014,386,91,1,1.098901098901099,Cameroon
2014-01-26,1/20/2014,1/26/2014,562,243,3,1.2345679012345678,Cameroon
2014-02-02,1/27/2014,2/2/2014,721,161,1,0.6211180124223602,Cameroon
2014-02-09,2/3/2014,2/9/2014,704,168,3,1.7857142857142856,Cameroon
2014-02-16,2/10/2014,2/16/2014,752,254,4,1.574803149606299,Cameroon
2014-02-23,2/17/2014,2/23/2014,501,186,1,0.5376344086021506,Cameroon
2014-03-02,2/24/2014,3/2/2014,1036,392,2,0.5102040816326531,Cameroon
2014-03-09,3/3/2014,3/9/2014,683,250,3,1.2,Cameroon
2014-03-16,3/10/2014,3/16/2014,1508,644,8,1.2422360248447204,Cameroon
2014-03-23,3/17/2014,3/23/2014,929,286,4,1.3986013986013985,Cameroon
2014-03-30,3/24/2014,3/30/2014,804,221,2,0.904977375565611,Cameroon
2014-04-06,3/31/2014,4/6/2014,1031,402,7,1.7412935323383085,Cameroon
2014-04-13,4/7/2014,4/13/2014,559,164,2,1.2195121951219512,Cameroon
2014-04-20,4/14/2014,4/20/2014,1022,460,10,2.1739130434782608,Cameroon
2014-04-27,4/21/2014,4/27/2014,1043,374,5,1.3368983957219251,Cameroon
2014-04-30,1/1/2014,4/30/2014,16,9,0,0.0,Cameroon
2014-05-04,4/28/2014,5/4/2014,2473,698,13,1.8624641833810889,Cameroon
2014-05-11,5/5/2014,5/11/2014,1584,469,7,1.4925373134328357,Cameroon
2014-05-18,5/12/2014,5/18/2014,1016,336,8,2.380952380952381,Cameroon
2014-05-25,5/19/2014,5/25/2014,1383,381,4,1.0498687664041995,Cameroon
2014-06-01,5/26/2014,6/1/2014,2049,891,16,1.7957351290684627,Cameroon
2014-06-08,6/2/2014,6/8/2014,1578,551,11,1.9963702359346642,Cameroon
2014-06-15,6/9/2014,6/15/2014,1591,653,11,1.6845329249617151,Cameroon
2014-06-22,6/16/2014,6/22/2014,1639,425,8,1.8823529411764703,Cameroon
2014-06-29,6/23/2014,6/29/2014,1296,298,4,1.342281879194631,Cameroon
2014-07-06,6/30/2014,7/6/2014,2744,961,21,2.18522372528616,Cameroon
2014-07-13,7/7/2014,7/13/2014,2011,441,11,2.494331065759637,Cameroon
2014-07-20,7/14/2014,7/20/2014,1691,570,10,1.7543859649122806,Cameroon
2014-07-24,4/24/2014,7/24/2014,1692,104,5,4.807692307692308,Cameroon
2014-07-27,7/21/2014,7/27/2014,1938,504,11,2.1825396825396823,Cameroon
2014-08-03,7/28/2014,8/3/2014,2604,1037,20,1.9286403085824495,Cameroon
2014-08-10,8/4/2014,8/10/2014,2687,897,19,2.118171683389075,Cameroon
2014-08-12,7/25/2014,8/12/2014,440,135,6,4.444444444444445,Cameroon
2014-08-17,8/11/2014,8/17/2014,2627,962,15,1.5592515592515594,Cameroon
2014-08-24,8/18/2014,8/24/2014,1750,598,10,1.6722408026755853,Cameroon
2014-08-31,8/25/2014,8/31/2014,3035,1085,23,2.1198156682027647,Cameroon
2014-09-07,9/1/2014,9/7/2014,1904,572,9,1.5734265734265735,Cameroon
2014-09-14,9/8/2014,9/14/2014,1926,520,11,2.1153846153846154,Cameroon
2014-09-21,9/15/2014,9/21/2014,1625,498,14,2.8112449799196786,Cameroon
2014-09-28,9/22/2014,9/28/2014,2438,884,20,2.262443438914027,Cameroon
2014-10-05,9/29/2014,10/5/2014,2576,950,17,1.789473684210526,Cameroon
2014-10-12,10/6/2014,10/12/2014,1974,680,16,2.3529411764705883,Cameroon
2014-10-19,10/13/2014,10/19/2014,2291,790,17,2.151898734177215,Cameroon
2014-10-26,10/20/2014,10/26/2014,1801,601,14,2.329450915141431,Cameroon
2014-11-02,10/27/2014,11/2/2014,1838,545,16,2.9357798165137616,Cameroon
2014-11-05,8/21/2014,11/5/2014,673,128,6,4.6875,Cameroon
2014-11-09,11/3/2014,11/9/2014,1585,498,12,2.4096385542168677,Cameroon
2014-11-16,11/10/2014,11/16/2014,850,170,2,1.1764705882352942,Cameroon
2014-11-23,11/17/2014,11/23/2014,526,186,2,1.0752688172043012,Cameroon
2014-11-30,11/24/2014,11/30/2014,697,229,4,1.7467248908296942,Cameroon
2014-12-07,12/1/2014,12/7/2014,442,168,0,0.0,Cameroon
2014-12-14,12/8/2014,12/14/2014,637,211,2,0.9478672985781991,Cameroon
2014-12-21,12/15/2014,12/21/2014,423,141,0,0.0,Cameroon
2014-12-28,12/22/2014,12/28/2014,531,113,1,0.8849557522123894,Cameroon
2015-01-04,12/29/2014,1/4/2015,371,119,3,2.5210084033613445,Cameroon
2015-01-11,1/5/2015,1/11/2015,333,72,0,0.0,Cameroon
2015-01-18,1/12/2015,1/18/2015,514,122,2,1.639344262295082,Cameroon
2015-01-25,1/19/2015,1/25/2015,647,190,2,1.0526315789473684,Cameroon
2015-02-01,1/26/2015,2/1/2015,519,174,2,1.1494252873563218,Cameroon
2015-02-08,2/2/2015,2/8/2015,325,48,1,2.083333333333333,Cameroon
2015-02-15,2/9/2015,2/15/2015,562,226,4,1.7699115044247788,Cameroon
2015-02-22,2/16/2015,2/22/2015,514,121,2,1.6528925619834711,Cameroon
2015-03-01,2/23/2015,3/1/2015,743,189,2,1.0582010582010581,Cameroon
2015-03-08,3/2/2015,3/8/2015,606,189,2,1.0582010582010581,Cameroon
2015-03-15,3/9/2015,3/15/2015,480,173,1,0.5780346820809248,Cameroon
2015-03-22,3/16/2015,3/22/2015,676,168,1,0.5952380952380952,Cameroon
2015-03-29,3/23/2015,3/29/2015,1245,507,9,1.7751479289940828,Cameroon
2015-04-05,3/30/2015,4/5/2015,1113,395,5,1.2658227848101267,Cameroon
2015-04-12,4/6/2015,4/12/2015,1082,362,6,1.6574585635359116,Cameroon
2015-04-19,4/13/2015,4/19/2015,842,261,5,1.9157088122605364,Cameroon
2015-04-26,4/20/2015,4/26/2015,642,86,1,1.1627906976744187,Cameroon
2015-05-03,4/27/2015,5/3/2015,1010,151,5,3.3112582781456954,Cameroon
2015-05-10,5/4/2015,5/10/2015,1277,318,3,0.9433962264150944,Cameroon
2015-05-17,5/11/2015,5/17/2015,786,159,0,0.0,Cameroon
2015-05-24,5/18/2015,5/24/2015,1932,734,19,2.588555858310627,Cameroon
2015-05-31,5/25/2015,5/31/2015,2163,621,13,2.0933977455716586,Cameroon
2015-06-07,6/1/2015,6/7/2015,1803,456,8,1.7543859649122806,Cameroon
2015-06-14,6/8/2015,6/14/2015,1631,489,12,2.4539877300613497,Cameroon
2015-06-21,6/15/2015,6/21/2015,1311,525,10,1.9047619047619049,Cameroon
2015-06-28,6/22/2015,6/28/2015,1738,484,11,2.272727272727273,Cameroon
2015-07-05,6/29/2015,7/5/2015,1193,246,4,1.6260162601626018,Cameroon
2015-07-12,7/6/2015,7/12/2015,1698,554,11,1.9855595667870036,Cameroon
2015-07-19,7/13/2015,7/19/2015,1306,510,11,2.156862745098039,Cameroon
2015-07-26,7/20/2015,7/26/2015,1269,564,9,1.5957446808510638,Cameroon
2015-08-02,7/27/2015,8/2/2015,3527,1175,25,2.127659574468085,Cameroon
2015-08-09,8/3/2015,8/9/2015,1085,377,6,1.5915119363395225,Cameroon
2015-08-16,8/10/2015,8/16/2015,2089,696,11,1.5804597701149428,Cameroon
2015-08-23,8/17/2015,8/23/2015,1996,882,17,1.9274376417233559,Cameroon
2015-08-30,8/24/2015,8/30/2015,2056,553,13,2.3508137432188065,Cameroon
2015-09-06,8/31/2015,9/6/2015,1874,473,10,2.1141649048625792,Cameroon
2015-09-13,9/7/2015,9/13/2015,1356,409,4,0.9779951100244498,Cameroon
2015-09-20,9/14/2015,9/20/2015,2046,758,11,1.4511873350923483,Cameroon
2015-09-27,9/21/2015,9/27/2015,2131,437,6,1.3729977116704806,Cameroon
2015-10-04,9/28/2015,10/4/2015,1076,371,5,1.3477088948787064,Cameroon
2015-10-11,10/5/2015,10/11/2015,2356,786,14,1.7811704834605597,Cameroon
2015-10-18,10/12/2015,10/18/2015,2382,1017,14,1.376597836774828,Cameroon
2015-10-25,10/19/2015,10/25/2015,2388,883,17,1.9252548131370328,Cameroon
2015-11-01,10/26/2015,11/1/2015,1453,451,7,1.5521064301552108,Cameroon
2015-11-08,11/2/2015,11/8/2015,1701,398,6,1.507537688442211,Cameroon
2015-11-15,11/9/2015,11/15/2015,1116,331,4,1.2084592145015105,Cameroon
2015-11-22,11/16/2015,11/22/2015,712,85,0,0.0,Cameroon
2015-11-29,11/23/2015,11/29/2015,727,111,3,2.7027027027027026,Cameroon
2015-12-06,11/30/2015,12/6/2015,503,132,1,0.7575757575757576,Cameroon
2015-12-13,12/7/2015,12/13/2015,283,68,1,1.4705882352941175,Cameroon
2015-12-20,12/14/2015,12/20/2015,630,238,4,1.680672268907563,Cameroon
2015-12-27,12/21/2015,12/27/2015,171,38,0,0.0,Cameroon
2016-01-10,1/4/2016,1/10/2016,276,83,0,0.0,Cameroon
2016-01-17,1/11/2016,1/17/2016,428,117,3,2.564102564102564,Cameroon
2016-01-24,1/18/2016,1/24/2016,241,39,1,2.564102564102564,Cameroon
2016-01-31,1/25/2016,1/31/2016,274,50,0,0.0,Cameroon
2016-02-07,2/1/2016,2/7/2016,613,116,1,0.8620689655172413,Cameroon
2016-02-14,2/8/2016,2/14/2016,455,121,1,0.8264462809917356,Cameroon
2016-02-21,2/15/2016,2/21/2016,315,125,2,1.6,Cameroon
2016-02-28,2/22/2016,2/28/2016,515,105,0,0.0,Cameroon
2016-03-06,2/29/2016,3/6/2016,1016,375,6,1.6,Cameroon
