Region,reporting_date,TL,TR,sCh,cCh,deaths,CFR,rainfall_avg,temperature_avg,humidity_avg
Centre,2021-11-02,2021-01-01,2021-11-02,40,17,1,5.88,4.102941176470588,23.57781045751634,82.5838888888889
Littoral,2021-11-02,2021-01-01,2021-11-02,29,0,0,,6.896535947712419,26.25330065359477,86.95767973856209
South-West,2021-11-02,2021-01-01,2021-11-02,36,2,0,0.0,9.35591503267974,24.556372549019606,88.14630718954247
Far North,2022-03-06,2021-01-24,2022-03-06,0,0,0,,1.4053071253071254,28.23756756756757,41.490368550368544
Littoral,2022-03-06,2022-02-28,2022-03-06,71,44,3,6.82,2.1471428571428572,26.787142857142857,86.48571428571428
North,2022-03-06,2022-02-28,2022-03-06,58,14,0,0.0,0.0,31.24142857142857,22.374285714285715
South,2022-03-06,2022-02-28,2022-03-06,0,0,0,,1.8699999999999999,24.32428571428572,84.11285714285714
South-West,2022-03-06,2022-02-28,2022-03-06,79,26,2,7.69,3.0500000000000003,25.55142857142857,84.21857142857142
Centre,2022-07-03,2022-06-27,2022-07-03,121,76,0,0.0,8.248571428571429,22.504285714285714,89.39999999999999
Far North,2022-07-03,2021-10-25,2022-07-03,101,0,0,,0.6923412698412699,28.72388888888889,33.176587301587304
Littoral,2022-07-03,2022-06-27,2022-07-03,193,52,2,3.85,8.134285714285713,25.354285714285712,88.15142857142858
North,2022-07-03,2021-10-25,2022-07-03,4,1,0,0.0,1.6644047619047617,28.29440476190476,46.18460317460317
South,2022-07-03,2021-10-25,2022-07-03,0,0,0,,3.245119047619048,23.659206349206354,86.16892857142857
South-West,2022-07-03,2022-06-27,2022-07-03,26,12,0,0.0,11.03857142857143,23.472857142857144,90.95142857142855
West,2022-07-03,2021-10-25,2022-07-03,82,0,0,,3.5864285714285713,21.915595238095236,73.19753968253968
South-West,2022-08-03,2022-07-17,2022-08-03,0,0,0,,26.24777777777778,22.760555555555555,93.10722222222222
Centre,2022-09-08,2022-08-29,2022-09-08,48,32,0,0.0,16.506363636363634,22.485454545454544,90.65181818181819
Littoral,2022-09-08,2022-08-29,2022-09-08,262,106,6,5.66,49.48818181818182,25.099999999999998,89.33090909090909
West,2022-09-08,2022-08-29,2022-09-08,137,75,1,1.33,31.064545454545456,20.049999999999997,88.65727272727273
Centre,2022-09-22,2022-09-16,2022-09-22,0,0,0,,3.7271428571428573,22.602857142857147,89.57142857142857
Littoral,2022-09-22,2022-09-16,2022-09-22,0,0,0,,10.820000000000002,25.25142857142857,89.83571428571429
West,2022-09-22,2022-09-16,2022-09-22,66,32,1,3.12,8.058571428571428,19.712857142857143,89.19285714285715
Centre,2022-10-13,2022-10-07,2022-10-13,97,41,1,2.44,9.804285714285713,22.28571428571428,90.4357142857143
Far North,2022-10-13,2022-10-07,2022-10-13,39,18,1,5.56,0.38571428571428573,25.608571428571427,79.60285714285715
Littoral,2022-10-13,2022-10-07,2022-10-13,115,56,4,7.14,12.137142857142857,25.58857142857143,86.63714285714286
West,2022-10-13,2022-10-07,2022-10-13,42,0,0,,13.719999999999999,19.970000000000002,88.10000000000001
Centre,2022-10-20,2022-10-14,2022-10-20,30,17,0,0.0,5.562857142857142,23.01142857142857,90.16857142857143
Far North,2022-10-20,2022-10-14,2022-10-20,52,14,1,7.14,0.1757142857142857,26.58857142857143,70.63142857142859
Littoral,2022-10-20,2021-10-25,2022-10-20,159,74,1,1.35,8.949085872576175,26.12650969529086,86.80429362880886
South-West,2022-10-20,2021-10-25,2022-10-20,6015,3920,63,1.61,11.63235457063712,24.38703601108033,88.18534626038782
Centre,2022-11-03,2022-10-28,2022-11-03,33,17,1,5.88,5.982857142857142,23.13285714285714,89.7942857142857
Far North,2022-11-03,2022-10-28,2022-11-03,71,33,2,6.06,0.0,26.028571428571432,55.09714285714285
Littoral,2022-11-03,2022-10-28,2022-11-03,117,79,2,2.53,12.847142857142858,26.235714285714288,88.49285714285715
West,2022-11-03,2022-10-28,2022-11-03,25,15,0,0.0,4.819999999999999,20.359999999999996,87.67857142857143
Centre,2022-11-10,2022-11-04,2022-11-10,24,9,0,0.0,1.1371428571428572,23.58428571428571,83.92999999999999
Far North,2022-11-10,2022-11-04,2022-11-10,36,11,0,0.0,0.0,26.140000000000004,45.94285714285714
Littoral,2022-11-10,2022-11-04,2022-11-10,34,0,0,,6.935714285714285,26.155714285714282,88.92857142857143
Centre,2022-11-24,2022-11-18,2022-11-24,0,0,0,,0.025714285714285717,23.03714285714285,80.18571428571428
Littoral,2022-11-24,2022-11-18,2022-11-24,52,16,0,0.0,1.1400000000000001,26.875714285714285,83.47857142857143
West,2022-11-24,2022-11-18,2022-11-24,37,21,0,0.0,0.044285714285714296,20.065714285714282,78.60857142857144
Centre,2022-12-08,2022-12-02,2022-12-08,34,15,0,0.0,0.39142857142857146,23.710000000000004,82.08428571428571
Littoral,2022-12-08,2022-12-02,2022-12-08,25,0,0,,0.6485714285714286,26.68285714285714,85.91428571428573
West,2022-12-08,2022-12-02,2022-12-08,12,3,0,0.0,0.16,20.867142857142856,78.25714285714285
Centre,2023-01-05,2022-12-30,2023-01-05,15,7,0,0.0,0.0,22.468571428571426,72.72
Littoral,2023-01-05,2022-12-30,2023-01-05,60,0,0,,0.04,26.428571428571427,78.37142857142858
Far North,2018-10-29,2018-10-23,2018-10-29,25,11,0,0.0,0.59,27.41142857142857,71.74571428571429
North,2018-10-29,2018-10-23,2018-10-29,50,0,0,,1.8342857142857143,26.505714285714287,78.44428571428571
Centre,2018-10-29,2018-08-27,2018-10-29,0,0,0,,7.673906250000001,23.05890625,88.40265625
Littoral,2018-10-29,2018-10-11,2018-10-29,0,0,0,,6.289999999999999,26.268421052631584,87.21999999999998
Centre,2018-09-24,2018-08-28,2018-09-24,0,0,0,,6.995714285714286,22.8425,88.55285714285715
North,2018-09-24,2018-05-18,2018-09-24,291,110,8,7.27,9.194923076923077,26.06130769230769,79.21523076923077
Littoral,2018-09-24,2018-05-18,2018-09-24,26,0,0,,9.42723076923077,25.414076923076923,89.52838461538461
North,2018-05-20,2018-05-14,2018-05-20,9,3,0,0.0,1.7485714285714287,29.542857142857144,61.40000000000001
North,2018-05-27,2018-05-21,2018-05-27,62,36,2,5.56,5.964285714285714,28.62285714285714,67.38
North,2018-06-03,2018-05-28,2018-06-03,0,0,0,,4.4314285714285715,27.79571428571429,72.38285714285715
North,2018-06-10,2018-06-04,2018-06-10,49,0,0,,3.334285714285715,28.8,67.27000000000001
North,2018-06-17,2018-06-11,2018-06-17,0,0,0,,3.294285714285714,28.962857142857143,66.55285714285715
North,2018-06-24,2018-06-18,2018-06-24,0,0,0,,6.805714285714285,25.67142857142857,78.4057142857143
North,2018-07-01,2018-06-25,2018-07-01,179,69,3,4.35,6.08,26.165714285714284,76.80142857142857
North,2018-07-08,2018-07-02,2018-07-08,0,0,0,,9.638571428571428,26.051428571428573,79.44714285714285
North,2018-07-15,2018-07-09,2018-07-15,38,11,0,0.0,8.397142857142857,26.232857142857142,76.64285714285714
North,2018-07-22,2018-07-16,2018-07-22,60,19,1,5.26,19.042857142857144,25.255714285714287,83.54285714285713
North,2018-07-29,2018-07-23,2018-07-29,26,12,0,0.0,6.978571428571428,25.28142857142857,84.67714285714285
North,2018-08-05,2018-07-30,2018-08-05,67,0,0,,7.157142857142857,24.391428571428573,86.22142857142858
North,2018-08-12,2018-08-06,2018-08-12,101,60,3,5.0,10.222857142857142,25.1,83.32000000000001
North,2018-08-19,2018-08-13,2018-08-19,101,52,1,1.92,33.82714285714286,24.64428571428572,85.41428571428571
North,2018-08-26,2018-08-20,2018-08-26,106,66,2,3.03,7.728571428571429,23.924285714285713,88.44857142857143
North,2018-09-02,2018-08-27,2018-09-02,0,0,0,,11.844285714285716,24.694285714285716,85.32571428571428
North,2018-09-09,2018-09-03,2018-09-09,123,41,1,2.44,9.057142857142855,24.515714285714285,87.49714285714286
North,2018-09-16,2018-09-10,2018-09-16,69,0,0,,6.39,25.462857142857143,82.48428571428572
North,2018-09-23,2018-09-17,2018-09-23,66,0,0,,6.518571428571428,26.184285714285714,79.73285714285714
North,2018-07-31,2018-05-18,2018-07-31,75,10,0,0.0,7.283066666666667,26.9012,75.22600000000001
Centre,2018-07-31,2018-05-18,2018-07-31,68,23,0,0.0,6.217466666666667,23.203733333333332,87.60053333333332
Centre,2018-08-12,2018-08-06,2018-08-12,15,5,0,0.0,3.448571428571428,23.04714285714286,87.02
Littoral,2018-08-12,2018-07-17,2018-08-12,149,86,1,1.16,11.53148148148148,24.800370370370363,90.63555555555556
Far North,2018-08-12,2018-07-17,2018-08-12,0,0,0,,8.190740740740742,25.278148148148148,82.87629629629629
East,2018-08-12,2018-07-17,2018-08-12,65,30,1,3.33,14.43074074074074,22.623703703703708,85.82851851851852
South,2018-08-12,2018-07-17,2018-08-12,13,3,0,0.0,3.592592592592592,22.402592592592587,88.5225925925926
South-West,2018-08-12,2018-07-17,2018-08-12,42,19,0,0.0,14.55777777777778,23.158518518518523,92.36333333333333
Adamaoua,2018-01-07,2018-01-01,2018-01-07,0,0,0,,0.0,17.877142857142854,45.34285714285714
Adamaoua,2018-01-14,2018-01-08,2018-01-14,0,0,0,,0.0,20.11285714285714,41.08571428571429
Adamaoua,2018-01-21,2018-01-15,2018-01-21,0,0,0,,0.0,20.314285714285717,36.85
Adamaoua,2018-01-28,2018-01-22,2018-01-28,0,0,0,,0.0,19.862857142857145,42.708571428571425
Adamaoua,2018-02-04,2018-01-29,2018-02-04,0,0,0,,0.0,21.192857142857143,43.68285714285714
Adamaoua,2018-02-11,2018-02-05,2018-02-11,0,0,0,,0.0,24.545714285714286,41.24142857142857
Adamaoua,2018-02-18,2018-02-12,2018-02-18,0,0,0,,0.0,25.07714285714286,43.462857142857146
Adamaoua,2018-02-25,2018-02-19,2018-02-25,0,0,0,,2.214285714285714,24.84714285714286,55.07285714285714
Adamaoua,2018-03-04,2018-02-26,2018-03-04,0,0,0,,0.015714285714285715,23.98857142857143,58.98857142857143
Adamaoua,2018-03-11,2018-03-05,2018-03-11,0,0,0,,0.08571428571428572,24.85285714285714,54.74
Adamaoua,2018-03-18,2018-03-12,2018-03-18,0,0,0,,0.07714285714285715,26.20714285714286,52.269999999999996
Adamaoua,2018-03-25,2018-03-19,2018-03-25,0,0,0,,1.8685714285714283,24.252857142857142,67.28571428571429
Adamaoua,2018-04-01,2018-03-26,2018-04-01,0,0,0,,0.15285714285714286,25.617142857142856,53.17142857142857
Adamaoua,2018-04-08,2018-04-02,2018-04-08,0,0,0,,1.4471428571428573,25.351428571428567,64.39
Adamaoua,2018-04-15,2018-04-09,2018-04-15,0,0,0,,2.015714285714286,24.95571428571429,66.61714285714285
Adamaoua,2018-04-22,2018-04-16,2018-04-22,0,0,0,,3.724285714285714,24.247142857142855,73.95
Adamaoua,2018-04-29,2018-04-23,2018-04-29,0,0,0,,4.158571428571428,24.411428571428576,76.13142857142859
Adamaoua,2018-05-06,2018-04-30,2018-05-06,0,0,0,,7.317142857142857,24.295714285714286,78.26285714285713
Adamaoua,2018-05-13,2018-05-07,2018-05-13,0,0,0,,7.152857142857143,23.34714285714286,81.89
Adamaoua,2018-05-20,2018-05-14,2018-05-20,0,0,0,,4.247142857142856,23.304285714285715,79.87
Adamaoua,2018-05-27,2018-05-21,2018-05-27,0,0,0,,7.774285714285715,23.118571428571425,81.0442857142857
Adamaoua,2018-06-03,2018-05-28,2018-06-03,0,0,0,,7.584285714285714,22.73,82.48285714285716
Adamaoua,2018-06-10,2018-06-04,2018-06-10,0,0,0,,3.485714285714286,23.295714285714286,80.83
Adamaoua,2018-06-17,2018-06-11,2018-06-17,0,0,0,,5.240000000000001,23.32714285714286,81.13285714285715
Adamaoua,2018-06-24,2018-06-18,2018-06-24,0,0,0,,9.845714285714285,21.211428571428574,86.62142857142855
Adamaoua,2018-07-01,2018-06-25,2018-07-01,0,0,0,,13.69,21.554285714285715,84.16857142857144
Adamaoua,2018-07-08,2018-07-02,2018-07-08,0,0,0,,15.994285714285711,21.66714285714286,85.10571428571428
Adamaoua,2018-07-15,2018-07-09,2018-07-15,0,0,0,,10.894285714285713,21.738571428571426,82.91714285714285
Adamaoua,2018-07-22,2018-07-16,2018-07-22,0,0,0,,20.03857142857143,21.34857142857143,87.32285714285716
Adamaoua,2018-07-29,2018-07-23,2018-07-29,0,0,0,,12.70857142857143,21.487142857142857,88.51857142857143
Adamaoua,2018-08-05,2018-07-30,2018-08-05,35,22,0,0.0,15.852857142857143,21.052857142857142,88.05285714285715
Adamaoua,2018-08-12,2018-08-06,2018-08-12,0,0,0,,9.552857142857144,21.50714285714286,85.99571428571429
Adamaoua,2018-08-19,2018-08-13,2018-08-19,0,0,0,,23.21142857142857,21.03,87.1657142857143
Adamaoua,2018-09-02,2018-08-27,2018-09-02,0,0,0,,21.24857142857143,20.654285714285717,90.47142857142858
Adamaoua,2018-09-09,2018-09-03,2018-09-09,0,0,0,,20.271428571428572,21.134285714285713,89.22857142857141
Adamaoua,2018-09-16,2018-09-10,2018-09-16,0,0,0,,11.138571428571428,21.49285714285714,86.51571428571428
Adamaoua,2018-09-23,2018-09-17,2018-09-23,0,0,0,,8.41,22.011428571428578,83.93857142857144
Adamaoua,2018-09-30,2018-09-24,2018-09-30,0,0,0,,8.724285714285715,22.011428571428574,85.57428571428571
Adamaoua,2018-10-07,2018-10-01,2018-10-07,0,0,0,,8.041428571428572,22.188571428571425,85.74285714285715
Adamaoua,2018-10-14,2018-10-08,2018-10-14,0,0,0,,3.7114285714285704,21.994285714285713,84.09
Adamaoua,2018-10-21,2018-10-15,2018-10-21,0,0,0,,0.7414285714285714,22.412857142857145,81.87571428571428
Adamaoua,2018-10-28,2018-10-22,2018-10-28,0,0,0,,2.912857142857143,21.99571428571429,85.04142857142857
Adamaoua,2018-11-04,2018-10-29,2018-11-04,0,0,0,,0.8928571428571429,22.45,80.13714285714286
Adamaoua,2018-11-11,2018-11-05,2018-11-11,0,0,0,,2.2071428571428573,22.368571428571432,78.35714285714286
Adamaoua,2018-11-18,2018-11-12,2018-11-18,0,0,0,,0.29714285714285715,22.477142857142855,71.81857142857142
Adamaoua,2018-11-25,2018-11-19,2018-11-25,0,0,0,,0.0014285714285714286,22.544285714285714,68.87142857142858
Adamaoua,2018-12-02,2018-11-26,2018-12-02,0,0,0,,0.0071428571428571435,22.237142857142857,64.84714285714286
Adamaoua,2018-12-16,2018-12-10,2018-12-16,0,0,0,,0.0,21.08857142857143,54.49857142857143
Adamaoua,2018-12-23,2018-12-17,2018-12-23,122,49,2,4.08,0.0,19.674285714285713,51.98285714285714
Adamaoua,2018-12-30,2018-12-24,2018-12-30,0,0,0,,0.0,20.139999999999997,53.707142857142856
Adamaoua,2019-01-06,2018-12-31,2019-01-06,0,0,0,,0.0,20.337142857142855,51.78285714285714
Adamaoua,2019-01-13,2019-01-07,2019-01-13,0,0,0,,0.0,20.88,48.199999999999996
Adamaoua,2019-01-20,2019-01-14,2019-01-20,0,0,0,,0.0,21.617142857142856,41.85285714285714
Adamaoua,2019-01-27,2019-01-21,2019-01-27,0,0,0,,0.024285714285714282,23.987142857142853,42.77857142857143
Adamaoua,2019-02-03,2019-01-28,2019-02-03,0,0,0,,0.2771428571428572,22.50714285714286,41.790000000000006
Adamaoua,2019-02-10,2019-02-04,2019-02-10,0,0,0,,0.0,21.944285714285716,40.058571428571426
Adamaoua,2019-02-17,2019-02-11,2019-02-17,0,0,0,,0.0,21.36714285714286,41.28857142857142
Adamaoua,2019-02-24,2019-02-18,2019-02-24,0,0,0,,0.0,24.467142857142857,48.925714285714285
Adamaoua,2019-03-03,2019-02-25,2019-03-03,0,0,0,,0.21428571428571427,24.55285714285714,56.06571428571429
Adamaoua,2019-03-10,2019-03-04,2019-03-10,0,0,0,,0.07857142857142858,25.955714285714283,48.644285714285715
Adamaoua,2019-03-17,2019-03-11,2019-03-17,0,0,0,,0.0014285714285714286,26.968571428571426,48.59000000000001
Adamaoua,2019-03-24,2019-03-18,2019-03-24,0,0,0,,0.5242857142857144,26.828571428571426,53.97571428571428
Adamaoua,2019-05-19,2019-05-13,2019-05-19,0,0,0,,6.08,24.509999999999998,71.93857142857142
Centre,2018-01-07,2018-01-01,2018-01-07,0,0,0,,0.015714285714285715,20.538571428571426,66.56714285714285
Centre,2018-01-14,2018-01-08,2018-01-14,0,0,0,,0.014285714285714287,22.387142857142855,63.78285714285713
Centre,2018-01-21,2018-01-15,2018-01-21,0,0,0,,0.008571428571428572,22.035714285714285,59.547142857142866
Centre,2018-01-28,2018-01-22,2018-01-28,0,0,0,,0.002857142857142857,22.428571428571423,60.05285714285714
Centre,2018-02-04,2018-01-29,2018-02-04,0,0,0,,0.0014285714285714286,23.915714285714284,59.027142857142856
Centre,2018-02-11,2018-02-05,2018-02-11,0,0,0,,1.1014285714285714,25.944285714285716,65.96142857142857
Centre,2018-02-18,2018-02-12,2018-02-18,0,0,0,,1.2871428571428571,25.851428571428567,74.43714285714285
Centre,2018-02-25,2018-02-19,2018-02-25,0,0,0,,3.8128571428571427,24.89428571428571,80.37
Centre,2018-03-04,2018-02-26,2018-03-04,30,16,0,0.0,6.664285714285714,23.751428571428573,85.28999999999999
Centre,2018-03-11,2018-03-05,2018-03-11,0,0,0,,2.9814285714285718,24.359999999999996,82.15285714285714
Centre,2018-03-18,2018-03-12,2018-03-18,0,0,0,,3.262857142857143,24.51571428571429,83.83142857142856
Centre,2018-03-25,2018-03-19,2018-03-25,0,0,0,,2.7142857142857144,24.277142857142856,82.57000000000001
Centre,2018-04-01,2018-03-26,2018-04-01,0,0,0,,1.5914285714285714,25.268571428571427,79.57285714285713
Centre,2018-04-08,2018-04-02,2018-04-08,56,0,0,,3.402857142857143,24.00142857142857,86.61285714285714
Centre,2018-04-15,2018-04-09,2018-04-15,0,0,0,,4.134285714285714,23.824285714285715,86.63142857142859
Centre,2018-04-22,2018-04-16,2018-04-22,0,0,0,,2.9642857142857144,24.430000000000003,83.72999999999999
Centre,2018-04-29,2018-04-23,2018-04-29,0,0,0,,5.248571428571429,24.225714285714286,86.86142857142856
Centre,2018-05-06,2018-04-30,2018-05-06,0,0,0,,3.6971428571428566,24.532857142857143,86.75142857142858
Centre,2018-05-13,2018-05-07,2018-05-13,0,0,0,,7.34857142857143,23.844285714285714,89.05
Centre,2018-05-20,2018-05-14,2018-05-20,61,0,0,,11.362857142857141,23.70714285714286,87.33285714285715
Centre,2018-05-27,2018-05-21,2018-05-27,0,0,0,,3.8200000000000003,23.797142857142855,87.15428571428572
Centre,2018-06-03,2018-05-28,2018-06-03,0,0,0,,4.045714285714285,23.67142857142857,87.98
Centre,2018-06-10,2018-06-04,2018-06-10,0,0,0,,2.8057142857142856,23.84142857142857,87.06142857142856
Centre,2018-06-17,2018-06-11,2018-06-17,0,0,0,,4.715714285714285,24.358571428571427,83.52
Centre,2018-06-24,2018-06-18,2018-06-24,0,0,0,,12.955714285714288,22.279999999999998,89.15428571428572
Centre,2018-07-01,2018-06-25,2018-07-01,0,0,0,,5.114285714285714,22.535714285714285,89.49428571428571
Centre,2018-07-08,2018-07-02,2018-07-08,0,0,0,,4.618571428571428,22.968571428571433,86.78142857142856
Centre,2018-07-15,2018-07-09,2018-07-15,36,9,0,0.0,3.7085714285714286,23.005714285714284,84.23714285714287
Centre,2018-07-22,2018-07-16,2018-07-22,77,0,0,,5.258571428571428,22.960000000000004,88.10857142857142
Centre,2018-07-29,2018-07-23,2018-07-29,0,0,0,,10.831428571428573,22.430000000000003,91.60857142857142
Centre,2018-08-05,2018-07-30,2018-08-05,63,23,1,4.35,5.7542857142857144,22.695714285714285,88.04999999999998
Centre,2018-08-19,2018-08-13,2018-08-19,78,0,0,,3.21,22.96142857142857,87.56428571428572
Centre,2018-09-02,2018-08-27,2018-09-02,226,119,3,2.52,7.467142857142856,22.498571428571427,89.25
Centre,2018-09-09,2018-09-03,2018-09-09,0,0,0,,6.4085714285714275,22.494285714285713,90.52571428571427
Centre,2018-09-16,2018-09-10,2018-09-16,0,0,0,,6.808571428571429,22.964285714285715,86.43714285714286
Centre,2018-09-23,2018-09-17,2018-09-23,0,0,0,,6.518571428571429,23.33857142857143,88.10857142857142
Centre,2018-09-30,2018-09-24,2018-09-30,0,0,0,,3.5728571428571425,23.472857142857144,86.48142857142855
Centre,2018-10-07,2018-10-01,2018-10-07,0,0,0,,7.8342857142857145,23.080000000000002,88.75571428571428
Centre,2018-10-14,2018-10-08,2018-10-14,0,0,0,,22.765714285714285,22.957142857142856,90.09
Centre,2018-10-21,2018-10-15,2018-10-21,0,0,0,,3.442857142857143,23.485714285714284,87.66571428571429
Centre,2018-10-28,2018-10-22,2018-10-28,0,0,0,,4.618571428571428,23.18857142857143,88.22857142857141
Centre,2018-11-04,2018-10-29,2018-11-04,0,0,0,,8.992857142857144,23.34,89.49428571428571
Centre,2018-11-11,2018-11-05,2018-11-11,0,0,0,,2.005714285714286,23.82714285714286,86.6557142857143
Centre,2018-11-18,2018-11-12,2018-11-18,0,0,0,,2.415714285714286,23.80857142857143,86.08000000000001
Centre,2018-11-25,2018-11-19,2018-11-25,0,0,0,,0.49857142857142855,24.26428571428571,82.08714285714287
Centre,2018-12-02,2018-11-26,2018-12-02,9,5,0,0.0,0.021428571428571432,23.908571428571427,80.59142857142857
Centre,2018-12-09,2018-12-03,2018-12-09,0,0,0,,0.038571428571428576,23.788571428571426,82.37285714285713
Centre,2018-12-16,2018-12-10,2018-12-16,0,0,0,,0.004285714285714286,23.005714285714284,74.22000000000001
Centre,2018-12-23,2018-12-17,2018-12-23,0,0,0,,0.07,21.29714285714286,73.00571428571428
Centre,2018-12-30,2018-12-24,2018-12-30,0,0,0,,0.0642857142857143,22.68,71.18
Centre,2019-01-06,2018-12-31,2019-01-06,0,0,0,,0.1742857142857143,22.967142857142857,70.61428571428571
Centre,2019-01-13,2019-01-07,2019-01-13,0,0,0,,0.004285714285714286,23.184285714285718,66.27142857142856
Centre,2019-01-20,2019-01-14,2019-01-20,0,0,0,,0.032857142857142856,24.37857142857143,65.4242857142857
Centre,2019-01-27,2019-01-21,2019-01-27,0,0,0,,0.7614285714285715,25.228571428571428,71.34857142857142
Centre,2019-02-03,2019-01-28,2019-02-03,0,0,0,,0.21571428571428572,24.934285714285714,69.3457142857143
Centre,2019-02-10,2019-02-04,2019-02-10,0,0,0,,0.24714285714285714,25.138571428571428,61.262857142857136
Centre,2019-02-17,2019-02-11,2019-02-17,0,0,0,,0.0,25.01,56.44428571428572
Centre,2019-02-24,2019-02-18,2019-02-24,0,0,0,,0.0,25.801428571428573,67.69714285714285
Centre,2019-03-03,2019-02-25,2019-03-03,24,0,0,,3.182857142857143,24.90857142857143,76.54571428571428
Centre,2019-03-10,2019-03-04,2019-03-10,0,0,0,,1.1228571428571428,25.471428571428568,76.20571428571428
Centre,2019-03-17,2019-03-11,2019-03-17,0,0,0,,0.6157142857142857,26.00285714285715,75.81571428571428
