Region,TL,TR,reporting_date,sCh,cCh,deaths,CFR
Adamaoua,2012-01-09,2012-01-15,2012-01-15,2,1,0,0.0
Adamaoua,2012-01-16,2012-01-22,2012-01-22,155,0,0,0.0
Adamaoua,2012-01-23,2012-01-29,2012-01-29,58,21,0,0.0
Adamaoua,2012-01-30,2012-02-05,2012-02-05,75,41,1,2.4390243902439024
Adamaoua,2012-02-06,2012-02-12,2012-02-12,65,0,0,0.0
Adamaoua,2012-02-13,2012-02-19,2012-02-19,24,14,0,0.0
Adamaoua,2012-02-20,2012-02-26,2012-02-26,0,0,0,0.0
Adamaoua,2012-02-27,2012-03-04,2012-03-04,88,50,1,2.0
Adamaoua,2012-03-05,2012-03-11,2012-03-11,64,33,0,0.0
Adamaoua,2012-03-12,2012-03-18,2012-03-18,0,0,0,0.0
Adamaoua,2012-03-19,2012-03-25,2012-03-25,0,0,0,0.0
Adamaoua,2012-03-26,2012-04-01,2012-04-01,276,115,3,2.608695652173913
Adamaoua,2012-04-02,2012-04-08,2012-04-08,96,54,1,1.8518518518518516
Adamaoua,2012-04-09,2012-04-15,2012-04-15,106,51,1,1.9607843137254901
Adamaoua,2012-04-16,2012-04-22,2012-04-22,0,0,0,0.0
Adamaoua,2012-04-23,2012-04-29,2012-04-29,0,0,0,0.0
Adamaoua,2012-04-30,2012-05-06,2012-05-06,29,9,0,0.0
Adamaoua,2012-05-07,2012-05-13,2012-05-13,171,97,1,1.0309278350515463
Adamaoua,2012-05-14,2012-05-20,2012-05-20,327,183,5,2.73224043715847
Adamaoua,2012-05-21,2012-05-27,2012-05-27,0,0,0,0.0
Adamaoua,2012-05-28,2012-06-03,2012-06-03,30,19,0,0.0
Adamaoua,2012-06-04,2012-06-10,2012-06-10,0,0,0,0.0
Adamaoua,2012-06-11,2012-06-17,2012-06-17,25,13,0,0.0
Adamaoua,2012-06-18,2012-06-24,2012-06-24,0,0,0,0.0
Adamaoua,2012-06-25,2012-07-01,2012-07-01,182,90,1,1.1111111111111112
Adamaoua,2012-07-02,2012-07-08,2012-07-08,0,0,0,0.0
Adamaoua,2012-07-09,2012-07-15,2012-07-15,5,2,0,0.0
Adamaoua,2012-07-16,2012-07-22,2012-07-22,44,0,0,0.0
Adamaoua,2012-07-23,2012-07-29,2012-07-29,37,10,0,0.0
Adamaoua,2012-07-30,2012-08-05,2012-08-05,228,81,2,2.4691358024691357
Adamaoua,2012-08-06,2012-08-12,2012-08-12,0,0,0,0.0
Adamaoua,2012-08-13,2012-08-19,2012-08-19,0,0,0,0.0
Adamaoua,2012-08-20,2012-08-26,2012-08-26,0,0,0,0.0
Adamaoua,2012-08-27,2012-09-02,2012-09-02,57,30,0,0.0
Adamaoua,2012-09-03,2012-09-09,2012-09-09,0,0,0,0.0
Adamaoua,2012-09-10,2012-09-16,2012-09-16,108,28,1,3.571428571428571
Adamaoua,2012-09-17,2012-09-23,2012-09-23,68,45,1,2.2222222222222223
Adamaoua,2012-09-24,2012-09-30,2012-09-30,0,0,0,0.0
Adamaoua,2012-10-01,2012-10-07,2012-10-07,0,0,0,0.0
Adamaoua,2012-10-08,2012-10-14,2012-10-14,114,47,0,0.0
Adamaoua,2012-10-15,2012-10-21,2012-10-21,231,50,1,2.0
Adamaoua,2012-10-22,2012-10-28,2012-10-28,47,0,0,0.0
Adamaoua,2012-10-29,2012-11-04,2012-11-04,120,25,0,0.0
Adamaoua,2012-11-05,2012-11-11,2012-11-11,0,0,0,0.0
Adamaoua,2012-11-12,2012-11-18,2012-11-18,0,0,0,0.0
Adamaoua,2012-11-19,2012-11-25,2012-11-25,0,0,0,0.0
Adamaoua,2012-11-26,2012-12-02,2012-12-02,0,0,0,0.0
Adamaoua,2012-12-03,2012-12-09,2012-12-09,47,7,1,14.285714285714285
Adamaoua,2012-12-10,2012-12-16,2012-12-16,30,17,0,0.0
Adamaoua,2012-12-17,2012-12-23,2012-12-23,54,17,0,0.0
Adamaoua,2012-12-24,2012-12-30,2012-12-30,32,0,0,0.0
Adamaoua,2012-12-31,2013-01-06,2013-01-06,32,0,0,0.0
Adamaoua,2013-01-07,2013-01-13,2013-01-13,0,0,0,0.0
Adamaoua,2013-01-14,2013-01-20,2013-01-20,40,17,0,0.0
Adamaoua,2013-01-21,2013-01-27,2013-01-27,43,17,0,0.0
Adamaoua,2013-01-28,2013-02-03,2013-02-03,53,26,0,0.0
Adamaoua,2013-02-04,2013-02-10,2013-02-10,0,0,0,0.0
Adamaoua,2013-02-11,2013-02-17,2013-02-17,0,0,0,0.0
Adamaoua,2013-02-18,2013-02-24,2013-02-24,2,0,0,0.0
Adamaoua,2013-02-25,2013-03-03,2013-03-03,0,0,0,0.0
Adamaoua,2013-03-04,2013-03-10,2013-03-10,62,0,0,0.0
Adamaoua,2013-03-11,2013-03-17,2013-03-17,0,0,0,0.0
Adamaoua,2013-03-18,2013-03-24,2013-03-24,103,60,1,1.6666666666666667
Adamaoua,2013-03-25,2013-03-31,2013-03-31,35,9,0,0.0
Adamaoua,2013-04-01,2013-04-07,2013-04-07,0,0,0,0.0
Adamaoua,2013-04-08,2013-04-14,2013-04-14,0,0,0,0.0
Adamaoua,2013-04-15,2013-04-21,2013-04-21,43,0,0,0.0
Adamaoua,2013-04-22,2013-04-28,2013-04-28,152,96,2,2.083333333333333
Adamaoua,2013-04-29,2013-05-05,2013-05-05,0,0,0,0.0
Adamaoua,2013-05-06,2013-05-12,2013-05-12,23,0,0,0.0
Adamaoua,2013-05-13,2013-05-19,2013-05-19,135,46,1,2.1739130434782608
Adamaoua,2013-05-20,2013-05-26,2013-05-26,0,0,0,0.0
Adamaoua,2013-05-27,2013-06-02,2013-06-02,0,0,0,0.0
Adamaoua,2013-06-03,2013-06-09,2013-06-09,60,16,0,0.0
Adamaoua,2013-06-10,2013-06-16,2013-06-16,33,0,0,0.0
Adamaoua,2013-06-17,2013-06-23,2013-06-23,101,18,0,0.0
Adamaoua,2013-06-24,2013-06-30,2013-06-30,92,60,0,0.0
Adamaoua,2013-07-01,2013-07-07,2013-07-07,103,15,0,0.0
Adamaoua,2013-07-08,2013-07-14,2013-07-14,0,0,0,0.0
Adamaoua,2013-07-15,2013-07-21,2013-07-21,0,0,0,0.0
Adamaoua,2013-07-22,2013-07-28,2013-07-28,21,11,0,0.0
Adamaoua,2013-07-29,2013-08-04,2013-08-04,33,1,0,0.0
Adamaoua,2013-08-05,2013-08-11,2013-08-11,96,0,1,0.0
Adamaoua,2013-08-12,2013-08-18,2013-08-18,134,75,1,1.3333333333333335
Adamaoua,2013-08-19,2013-08-25,2013-08-25,0,0,0,0.0
Adamaoua,2013-08-26,2013-09-01,2013-09-01,0,0,0,0.0
Adamaoua,2013-09-02,2013-09-08,2013-09-08,0,0,0,0.0
Adamaoua,2013-09-09,2013-09-15,2013-09-15,40,25,0,0.0
Adamaoua,2013-09-16,2013-09-22,2013-09-22,145,60,1,1.6666666666666667
Adamaoua,2013-09-23,2013-09-29,2013-09-29,0,0,0,0.0
Adamaoua,2013-09-30,2013-10-06,2013-10-06,185,0,0,0.0
Adamaoua,2013-10-07,2013-10-13,2013-10-13,0,0,0,0.0
Adamaoua,2013-10-14,2013-10-20,2013-10-20,36,21,1,4.761904761904762
Adamaoua,2013-10-21,2013-10-27,2013-10-27,0,0,0,0.0
Adamaoua,2013-10-28,2013-11-03,2013-11-03,76,6,0,0.0
Adamaoua,2013-11-04,2013-11-10,2013-11-10,0,0,0,0.0
Adamaoua,2013-11-11,2013-11-17,2013-11-17,25,13,0,0.0
Adamaoua,2013-11-18,2013-11-24,2013-11-24,0,0,0,0.0
Adamaoua,2013-11-25,2013-12-01,2013-12-01,0,0,0,0.0
Adamaoua,2013-12-02,2013-12-08,2013-12-08,90,0,0,0.0
Adamaoua,2013-12-09,2013-12-15,2013-12-15,22,0,0,0.0
Adamaoua,2013-12-16,2013-12-22,2013-12-22,0,0,0,0.0
Adamaoua,2013-12-23,2013-12-29,2013-12-29,0,0,0,0.0
Adamaoua,2013-12-30,2014-01-05,2014-01-05,116,40,1,2.5
Adamaoua,2014-01-06,2014-01-12,2014-01-12,0,0,0,0.0
Adamaoua,2014-01-13,2014-01-19,2014-01-19,0,0,0,0.0
Adamaoua,2014-01-20,2014-01-26,2014-01-26,78,24,0,0.0
Adamaoua,2014-01-27,2014-02-02,2014-02-02,0,0,0,0.0
Adamaoua,2014-02-03,2014-02-09,2014-02-09,0,0,0,0.0
Adamaoua,2014-02-10,2014-02-16,2014-02-16,95,0,0,0.0
Adamaoua,2014-02-17,2014-02-23,2014-02-23,32,17,0,0.0
Adamaoua,2014-02-24,2014-03-02,2014-03-02,76,39,0,0.0
Adamaoua,2014-03-03,2014-03-09,2014-03-09,128,38,1,2.631578947368421
Adamaoua,2014-03-10,2014-03-16,2014-03-16,54,17,0,0.0
Adamaoua,2014-03-17,2014-03-23,2014-03-23,102,31,0,0.0
Adamaoua,2014-03-24,2014-03-30,2014-03-30,0,0,0,0.0
Adamaoua,2014-03-31,2014-04-06,2014-04-06,0,0,0,0.0
Adamaoua,2014-04-07,2014-04-13,2014-04-13,24,0,0,0.0
Adamaoua,2014-04-14,2014-04-20,2014-04-20,0,0,0,0.0
Adamaoua,2014-04-21,2014-04-27,2014-04-27,0,0,0,0.0
Adamaoua,2014-04-28,2014-05-04,2014-05-04,96,22,1,4.545454545454546
Adamaoua,2014-05-05,2014-05-11,2014-05-11,54,32,0,0.0
Adamaoua,2014-05-12,2014-05-18,2014-05-18,196,45,1,2.2222222222222223
Adamaoua,2014-05-19,2014-05-25,2014-05-25,0,0,0,0.0
Adamaoua,2014-05-26,2014-06-01,2014-06-01,0,0,0,0.0
Adamaoua,2014-06-02,2014-06-08,2014-06-08,0,0,0,0.0
Adamaoua,2014-06-09,2014-06-15,2014-06-15,30,14,0,0.0
Adamaoua,2014-06-16,2014-06-22,2014-06-22,185,66,1,1.5151515151515151
Adamaoua,2014-06-23,2014-06-29,2014-06-29,62,0,0,0.0
Adamaoua,2014-06-30,2014-07-06,2014-07-06,0,0,0,0.0
Adamaoua,2014-07-07,2014-07-13,2014-07-13,0,0,0,0.0
Adamaoua,2014-07-14,2014-07-20,2014-07-20,9,5,0,0.0
Adamaoua,2014-07-21,2014-07-27,2014-07-27,0,0,0,0.0
Adamaoua,2014-07-28,2014-08-03,2014-08-03,0,0,0,0.0
Adamaoua,2014-08-04,2014-08-10,2014-08-10,0,0,0,0.0
Adamaoua,2014-08-11,2014-08-17,2014-08-17,40,10,0,0.0
Adamaoua,2014-08-18,2014-08-24,2014-08-24,0,0,0,0.0
Adamaoua,2014-08-25,2014-08-31,2014-08-31,0,0,0,0.0
Adamaoua,2014-09-01,2014-09-07,2014-09-07,122,21,0,0.0
Adamaoua,2014-09-08,2014-09-14,2014-09-14,58,25,1,4.0
Adamaoua,2014-09-15,2014-09-21,2014-09-21,46,0,0,0.0
Adamaoua,2014-09-22,2014-09-28,2014-09-28,0,0,0,0.0
Adamaoua,2014-09-29,2014-10-05,2014-10-05,26,0,0,0.0
Adamaoua,2014-10-06,2014-10-12,2014-10-12,25,15,0,0.0
Adamaoua,2014-10-13,2014-10-19,2014-10-19,0,0,0,0.0
Adamaoua,2014-10-20,2014-10-26,2014-10-26,0,0,0,0.0
Adamaoua,2014-10-27,2014-11-02,2014-11-02,136,0,0,0.0
Adamaoua,2014-11-03,2014-11-09,2014-11-09,0,0,0,0.0
Adamaoua,2014-11-10,2014-11-16,2014-11-16,0,0,0,0.0
Adamaoua,2014-11-17,2014-11-23,2014-11-23,0,0,0,0.0
Adamaoua,2014-11-24,2014-11-30,2014-11-30,14,5,0,0.0
Adamaoua,2014-12-01,2014-12-07,2014-12-07,25,0,0,0.0
Adamaoua,2014-12-08,2014-12-14,2014-12-14,189,65,1,1.5384615384615385
Adamaoua,2014-12-15,2014-12-21,2014-12-21,0,0,0,0.0
Adamaoua,2014-12-22,2014-12-28,2014-12-28,0,0,0,0.0
Adamaoua,2014-12-29,2015-01-04,2015-01-04,139,40,1,2.5
Adamaoua,2015-01-05,2015-01-11,2015-01-11,56,14,0,0.0
Adamaoua,2015-01-12,2015-01-18,2015-01-18,230,60,2,3.3333333333333335
Adamaoua,2015-01-19,2015-01-25,2015-01-25,44,0,1,0.0
Adamaoua,2015-01-26,2015-02-01,2015-02-01,15,0,0,0.0
Adamaoua,2015-02-02,2015-02-08,2015-02-08,39,0,0,0.0
Adamaoua,2015-02-09,2015-02-15,2015-02-15,0,0,0,0.0
Adamaoua,2015-02-16,2015-02-22,2015-02-22,26,0,0,0.0
Adamaoua,2015-02-23,2015-03-01,2015-03-01,0,0,0,0.0
Adamaoua,2015-03-02,2015-03-08,2015-03-08,0,0,0,0.0
Adamaoua,2015-03-09,2015-03-15,2015-03-15,0,0,0,0.0
Adamaoua,2015-03-16,2015-03-22,2015-03-22,53,22,0,0.0
Adamaoua,2015-03-23,2015-03-29,2015-03-29,0,0,0,0.0
Adamaoua,2015-03-30,2015-04-05,2015-04-05,0,0,0,0.0
Adamaoua,2015-04-06,2015-04-12,2015-04-12,47,19,0,0.0
Adamaoua,2015-04-13,2015-04-19,2015-04-19,0,0,0,0.0
Adamaoua,2015-04-20,2015-04-26,2015-04-26,0,0,0,0.0
Adamaoua,2015-04-27,2015-05-03,2015-05-03,0,0,0,0.0
Adamaoua,2015-05-04,2015-05-10,2015-05-10,0,0,0,0.0
Adamaoua,2015-05-11,2015-05-17,2015-05-17,29,0,0,0.0
Adamaoua,2015-05-18,2015-05-24,2015-05-24,0,0,0,0.0
Adamaoua,2015-05-25,2015-05-31,2015-05-31,97,40,0,0.0
Adamaoua,2015-06-01,2015-06-07,2015-06-07,0,0,0,0.0
Adamaoua,2015-06-08,2015-06-14,2015-06-14,0,0,0,0.0
Adamaoua,2015-06-15,2015-06-21,2015-06-21,39,21,0,0.0
Adamaoua,2015-06-22,2015-06-28,2015-06-28,0,0,0,0.0
Adamaoua,2015-06-29,2015-07-05,2015-07-05,0,0,0,0.0
Adamaoua,2015-07-06,2015-07-12,2015-07-12,44,0,0,0.0
Adamaoua,2015-07-13,2015-07-19,2015-07-19,0,0,0,0.0
Adamaoua,2015-07-20,2015-07-26,2015-07-26,102,46,1,2.1739130434782608
Adamaoua,2015-07-27,2015-08-02,2015-08-02,38,20,0,0.0
Adamaoua,2015-08-03,2015-08-09,2015-08-09,5,1,0,0.0
Adamaoua,2015-08-10,2015-08-16,2015-08-16,43,17,0,0.0
Adamaoua,2015-08-17,2015-08-23,2015-08-23,104,66,2,3.0303030303030303
Adamaoua,2015-08-24,2015-08-30,2015-08-30,116,46,1,2.1739130434782608
Adamaoua,2015-08-31,2015-09-06,2015-09-06,170,100,1,1.0
Adamaoua,2015-09-07,2015-09-13,2015-09-13,79,42,0,0.0
Adamaoua,2015-09-14,2015-09-20,2015-09-20,0,0,0,0.0
Adamaoua,2015-09-21,2015-09-27,2015-09-27,75,24,0,0.0
Adamaoua,2015-09-28,2015-10-04,2015-10-04,0,0,0,0.0
Adamaoua,2015-10-05,2015-10-11,2015-10-11,91,50,0,0.0
Adamaoua,2015-10-12,2015-10-18,2015-10-18,55,15,0,0.0
Adamaoua,2015-10-19,2015-10-25,2015-10-25,75,0,1,0.0
Adamaoua,2015-10-26,2015-11-01,2015-11-01,22,0,0,0.0
Adamaoua,2015-11-02,2015-11-08,2015-11-08,122,31,0,0.0
Adamaoua,2015-11-09,2015-11-15,2015-11-15,37,0,0,0.0
Adamaoua,2015-11-16,2015-11-22,2015-11-22,52,0,0,0.0
Adamaoua,2015-11-23,2015-11-29,2015-11-29,0,0,0,0.0
Adamaoua,2015-11-30,2015-12-06,2015-12-06,0,0,0,0.0
Adamaoua,2015-12-07,2015-12-13,2015-12-13,35,0,0,0.0
Adamaoua,2015-12-14,2015-12-20,2015-12-20,0,0,0,0.0
Adamaoua,2015-12-21,2015-12-27,2015-12-27,0,0,0,0.0
Adamaoua,2016-01-04,2016-01-10,2016-01-10,38,22,0,0.0
Adamaoua,2016-01-11,2016-01-17,2016-01-17,15,3,0,0.0
Adamaoua,2016-01-18,2016-01-24,2016-01-24,0,0,0,0.0
Adamaoua,2016-01-25,2016-01-31,2016-01-31,0,0,0,0.0
Adamaoua,2016-02-01,2016-02-07,2016-02-07,23,6,0,0.0
Adamaoua,2016-02-08,2016-02-14,2016-02-14,0,0,0,0.0
Adamaoua,2016-02-15,2016-02-21,2016-02-21,0,0,0,0.0
Adamaoua,2016-02-22,2016-02-28,2016-02-28,10,4,0,0.0
Adamaoua,2016-02-29,2016-03-06,2016-03-06,76,37,1,2.7027027027027026
Adamaoua,2016-03-07,2016-03-13,2016-03-13,235,125,2,1.6
Adamaoua,2016-03-14,2016-03-20,2016-03-20,0,0,0,0.0
Adamaoua,2016-03-21,2016-03-27,2016-03-27,29,8,0,0.0
Adamaoua,2016-03-28,2016-04-03,2016-04-03,0,0,0,0.0
Adamaoua,2016-04-04,2016-04-10,2016-04-10,0,0,0,0.0
Adamaoua,2016-04-11,2016-04-17,2016-04-17,54,30,1,3.3333333333333335
Adamaoua,2016-04-18,2016-04-24,2016-04-24,0,0,0,0.0
Adamaoua,2016-04-25,2016-05-01,2016-05-01,0,0,0,0.0
Adamaoua,2016-05-02,2016-05-08,2016-05-08,250,79,3,3.79746835443038
Adamaoua,2016-05-09,2016-05-15,2016-05-15,82,32,1,3.125
Adamaoua,2016-05-16,2016-05-22,2016-05-22,36,0,0,0.0
Adamaoua,2016-05-23,2016-05-29,2016-05-29,0,0,0,0.0
Adamaoua,2016-05-30,2016-06-05,2016-06-05,27,11,0,0.0
Adamaoua,2016-06-06,2016-06-12,2016-06-12,84,28,0,0.0
Adamaoua,2016-06-13,2016-06-19,2016-06-19,0,0,0,0.0
Adamaoua,2016-06-20,2016-06-26,2016-06-26,76,38,1,2.631578947368421
Adamaoua,2016-06-27,2016-07-03,2016-07-03,0,0,0,0.0
Adamaoua,2016-07-04,2016-07-10,2016-07-10,0,0,0,0.0
Adamaoua,2016-07-11,2016-07-17,2016-07-17,38,23,1,4.3478260869565215
Adamaoua,2016-07-18,2016-07-24,2016-07-24,0,0,0,0.0
Adamaoua,2016-07-25,2016-07-31,2016-07-31,0,0,0,0.0
Adamaoua,2016-08-01,2016-08-07,2016-08-07,0,0,0,0.0
Adamaoua,2016-08-08,2016-08-14,2016-08-14,65,0,0,0.0
Adamaoua,2016-08-15,2016-08-21,2016-08-21,0,0,0,0.0
Adamaoua,2016-08-22,2016-08-28,2016-08-28,0,0,0,0.0
Adamaoua,2016-08-29,2016-09-04,2016-09-04,48,0,0,0.0
Adamaoua,2016-09-05,2016-09-11,2016-09-11,0,0,0,0.0
Adamaoua,2016-09-12,2016-09-18,2016-09-18,150,97,3,3.0927835051546393
Adamaoua,2016-09-19,2016-09-25,2016-09-25,105,33,0,0.0
Adamaoua,2016-09-26,2016-10-02,2016-10-02,106,3,0,0.0
Adamaoua,2016-10-03,2016-10-09,2016-10-09,112,0,0,0.0
Adamaoua,2016-10-10,2016-10-16,2016-10-16,40,21,0,0.0
Adamaoua,2016-10-17,2016-10-23,2016-10-23,101,0,0,0.0
Adamaoua,2016-10-24,2016-10-30,2016-10-30,0,0,0,0.0
Adamaoua,2016-10-31,2016-11-06,2016-11-06,0,0,0,0.0
Adamaoua,2016-11-07,2016-11-13,2016-11-13,0,0,0,0.0
Adamaoua,2016-11-14,2016-11-20,2016-11-20,34,19,0,0.0
Adamaoua,2016-11-21,2016-11-27,2016-11-27,0,0,0,0.0
Adamaoua,2016-11-28,2016-12-04,2016-12-04,16,10,0,0.0
