Region,reporting_date,TL,TR,sCh,cCh,deaths,CFR
Adamaoua,2018-04-22,2018-04-16,2018-04-22,0,0,0,
Adamaoua,2018-04-29,2018-04-23,2018-04-29,0,0,0,
Adamaoua,2018-05-06,2018-04-30,2018-05-06,0,0,0,
Adamaoua,2018-05-13,2018-05-07,2018-05-13,0,0,0,
Adamaoua,2018-05-20,2018-05-14,2018-05-20,0,0,0,
Adamaoua,2018-05-27,2018-05-21,2018-05-27,0,0,0,
Adamaoua,2018-06-03,2018-05-28,2018-06-03,0,0,0,
Adamaoua,2018-06-10,2018-06-04,2018-06-10,0,0,0,
Adamaoua,2018-06-17,2018-06-11,2018-06-17,0,0,0,
Adamaoua,2018-06-24,2018-06-18,2018-06-24,0,0,0,
Adamaoua,2018-07-01,2018-06-25,2018-07-01,0,0,0,
Adamaoua,2018-07-08,2018-07-02,2018-07-08,0,0,0,
Adamaoua,2018-07-15,2018-07-09,2018-07-15,0,0,0,
Adamaoua,2018-07-22,2018-07-16,2018-07-22,0,0,0,
Adamaoua,2018-07-29,2018-07-23,2018-07-29,0,0,0,
Adamaoua,2018-08-05,2018-07-30,2018-08-05,35,22,0,0.0
Adamaoua,2018-08-12,2018-08-06,2018-08-12,0,0,0,
Adamaoua,2018-08-19,2018-08-13,2018-08-19,0,0,0,
Adamaoua,2018-09-02,2018-08-27,2018-09-02,0,0,0,
Adamaoua,2018-09-09,2018-09-03,2018-09-09,0,0,0,
Adamaoua,2018-09-16,2018-09-10,2018-09-16,0,0,0,
Adamaoua,2018-09-23,2018-09-17,2018-09-23,0,0,0,
Adamaoua,2018-09-30,2018-09-24,2018-09-30,0,0,0,
Adamaoua,2018-10-07,2018-10-01,2018-10-07,0,0,0,
Adamaoua,2018-10-14,2018-10-08,2018-10-14,0,0,0,
Adamaoua,2018-10-21,2018-10-15,2018-10-21,0,0,0,
Adamaoua,2018-10-28,2018-10-22,2018-10-28,0,0,0,
Adamaoua,2018-11-04,2018-10-29,2018-11-04,0,0,0,
Adamaoua,2018-11-11,2018-11-05,2018-11-11,0,0,0,
Adamaoua,2018-11-18,2018-11-12,2018-11-18,0,0,0,
Adamaoua,2018-11-25,2018-11-19,2018-11-25,0,0,0,
Adamaoua,2018-12-02,2018-11-26,2018-12-02,0,0,0,
Adamaoua,2018-12-16,2018-12-10,2018-12-16,0,0,0,
Adamaoua,2018-12-23,2018-12-17,2018-12-23,122,49,2,4.08
Adamaoua,2018-12-30,2018-12-24,2018-12-30,0,0,0,
Adamaoua,2019-01-06,2018-12-31,2019-01-06,0,0,0,
Adamaoua,2019-01-13,2019-01-07,2019-01-13,0,0,0,
Adamaoua,2019-01-20,2019-01-14,2019-01-20,0,0,0,
Adamaoua,2019-01-27,2019-01-21,2019-01-27,0,0,0,
Adamaoua,2019-02-03,2019-01-28,2019-02-03,0,0,0,
Adamaoua,2019-02-10,2019-02-04,2019-02-10,0,0,0,
Adamaoua,2019-02-17,2019-02-11,2019-02-17,0,0,0,
Adamaoua,2019-02-24,2019-02-18,2019-02-24,0,0,0,
Adamaoua,2019-03-03,2019-02-25,2019-03-03,0,0,0,
Adamaoua,2019-03-10,2019-03-04,2019-03-10,0,0,0,
Adamaoua,2019-03-17,2019-03-11,2019-03-17,0,0,0,
Adamaoua,2019-03-24,2019-03-18,2019-03-24,0,0,0,
Adamaoua,2019-05-19,2019-05-13,2019-05-19,0,0,0,
Centre,2018-01-07,2018-01-01,2018-01-07,0,0,0,
Centre,2018-01-14,2018-01-08,2018-01-14,0,0,0,
Centre,2018-01-21,2018-01-15,2018-01-21,0,0,0,
Centre,2018-01-28,2018-01-22,2018-01-28,0,0,0,
Centre,2018-02-04,2018-01-29,2018-02-04,0,0,0,
Centre,2018-02-11,2018-02-05,2018-02-11,0,0,0,
Centre,2018-02-18,2018-02-12,2018-02-18,0,0,0,
Centre,2018-02-25,2018-02-19,2018-02-25,0,0,0,
Centre,2018-03-04,2018-02-26,2018-03-04,30,16,0,0.0
Centre,2018-03-11,2018-03-05,2018-03-11,0,0,0,
Centre,2018-03-18,2018-03-12,2018-03-18,0,0,0,
Centre,2018-03-25,2018-03-19,2018-03-25,0,0,0,
Centre,2018-04-01,2018-03-26,2018-04-01,0,0,0,
Centre,2018-04-08,2018-04-02,2018-04-08,56,0,0,
Centre,2018-04-15,2018-04-09,2018-04-15,0,0,0,
Centre,2018-04-22,2018-04-16,2018-04-22,0,0,0,
Centre,2018-04-29,2018-04-23,2018-04-29,0,0,0,
Centre,2018-05-06,2018-04-30,2018-05-06,0,0,0,
Centre,2018-05-13,2018-05-07,2018-05-13,0,0,0,
Centre,2018-05-20,2018-05-14,2018-05-20,61,0,0,
Centre,2018-05-27,2018-05-21,2018-05-27,0,0,0,
Centre,2018-06-03,2018-05-28,2018-06-03,0,0,0,
Centre,2018-06-10,2018-06-04,2018-06-10,0,0,0,
Centre,2018-06-17,2018-06-11,2018-06-17,0,0,0,
Centre,2018-06-24,2018-06-18,2018-06-24,0,0,0,
Centre,2018-07-01,2018-06-25,2018-07-01,0,0,0,
Centre,2018-07-08,2018-07-02,2018-07-08,0,0,0,
Centre,2018-07-15,2018-07-09,2018-07-15,36,9,0,0.0
Centre,2018-07-22,2018-07-16,2018-07-22,77,0,0,
Centre,2018-07-29,2018-07-23,2018-07-29,0,0,0,
Centre,2018-08-05,2018-07-30,2018-08-05,63,23,1,4.35
Centre,2018-08-19,2018-08-13,2018-08-19,78,0,0,
Centre,2018-09-02,2018-08-27,2018-09-02,226,119,3,2.52
Centre,2018-09-09,2018-09-03,2018-09-09,0,0,0,
Centre,2018-09-16,2018-09-10,2018-09-16,0,0,0,
Centre,2018-09-23,2018-09-17,2018-09-23,0,0,0,
Centre,2018-09-30,2018-09-24,2018-09-30,0,0,0,
Centre,2018-10-07,2018-10-01,2018-10-07,0,0,0,
Centre,2018-10-14,2018-10-08,2018-10-14,0,0,0,
Centre,2018-10-21,2018-10-15,2018-10-21,0,0,0,
Centre,2018-10-28,2018-10-22,2018-10-28,0,0,0,
Centre,2018-11-04,2018-10-29,2018-11-04,0,0,0,
Centre,2018-11-11,2018-11-05,2018-11-11,0,0,0,
Centre,2018-11-18,2018-11-12,2018-11-18,0,0,0,
Centre,2018-11-25,2018-11-19,2018-11-25,0,0,0,
Centre,2018-12-02,2018-11-26,2018-12-02,9,5,0,0.0
Centre,2018-12-09,2018-12-03,2018-12-09,0,0,0,
Centre,2018-12-16,2018-12-10,2018-12-16,0,0,0,
Centre,2018-12-23,2018-12-17,2018-12-23,0,0,0,
Centre,2018-12-30,2018-12-24,2018-12-30,0,0,0,
Centre,2019-01-06,2018-12-31,2019-01-06,0,0,0,
Centre,2019-01-13,2019-01-07,2019-01-13,0,0,0,
Centre,2019-01-20,2019-01-14,2019-01-20,0,0,0,
Centre,2019-01-27,2019-01-21,2019-01-27,0,0,0,
Centre,2019-02-03,2019-01-28,2019-02-03,0,0,0,
Centre,2019-02-10,2019-02-04,2019-02-10,0,0,0,
Centre,2019-02-17,2019-02-11,2019-02-17,0,0,0,
Centre,2019-02-24,2019-02-18,2019-02-24,0,0,0,
Centre,2019-03-03,2019-02-25,2019-03-03,24,0,0,
Centre,2019-03-10,2019-03-04,2019-03-10,0,0,0,
Centre,2019-03-17,2019-03-11,2019-03-17,0,0,0,
Centre,2019-03-24,2019-03-18,2019-03-24,0,0,0,
Centre,2019-05-19,2019-05-13,2019-05-19,0,0,0,
Centre,2022-02-27,2022-02-21,2022-02-27,0,0,0,
Centre,2022-03-06,2022-02-28,2022-03-06,0,0,0,
Centre,2022-03-13,2022-03-07,2022-03-13,0,0,0,
Centre,2022-03-20,2022-03-14,2022-03-20,70,44,1,2.27
Centre,2022-03-27,2022-03-21,2022-03-27,44,13,0,0.0
Centre,2022-04-03,2022-03-28,2022-04-03,37,0,0,
Centre,2022-04-10,2022-04-04,2022-04-10,39,24,0,0.0
East,2018-01-07,2018-01-01,2018-01-07,0,0,0,
East,2018-01-14,2018-01-08,2018-01-14,0,0,0,
East,2018-01-21,2018-01-15,2018-01-21,0,0,0,
East,2018-01-28,2018-01-22,2018-01-28,0,0,0,
East,2018-02-04,2018-01-29,2018-02-04,0,0,0,
East,2018-02-11,2018-02-05,2018-02-11,0,0,0,
East,2018-02-18,2018-02-12,2018-02-18,0,0,0,
East,2018-02-25,2018-02-19,2018-02-25,0,0,0,
East,2018-03-04,2018-02-26,2018-03-04,0,0,0,
East,2018-03-11,2018-03-05,2018-03-11,0,0,0,
East,2018-03-18,2018-03-12,2018-03-18,0,0,0,
East,2018-03-25,2018-03-19,2018-03-25,0,0,0,
East,2018-04-01,2018-03-26,2018-04-01,1,1,0,0.0
East,2018-04-08,2018-04-02,2018-04-08,0,0,0,
East,2018-04-15,2018-04-09,2018-04-15,0,0,0,
East,2018-04-22,2018-04-16,2018-04-22,0,0,0,
East,2018-04-29,2018-04-23,2018-04-29,0,0,0,
East,2018-05-06,2018-04-30,2018-05-06,0,0,0,
East,2018-05-13,2018-05-07,2018-05-13,0,0,0,
East,2018-05-20,2018-05-14,2018-05-20,0,0,0,
East,2018-05-27,2018-05-21,2018-05-27,0,0,0,
East,2018-06-03,2018-05-28,2018-06-03,0,0,0,
East,2018-06-10,2018-06-04,2018-06-10,0,0,0,
East,2018-06-17,2018-06-11,2018-06-17,0,0,0,
East,2018-06-24,2018-06-18,2018-06-24,39,0,0,
East,2018-07-01,2018-06-25,2018-07-01,0,0,0,
East,2018-07-08,2018-07-02,2018-07-08,0,0,0,
East,2018-07-15,2018-07-09,2018-07-15,0,0,0,
East,2018-07-22,2018-07-16,2018-07-22,0,0,0,
East,2018-07-29,2018-07-23,2018-07-29,65,32,1,3.12
East,2018-08-05,2018-07-30,2018-08-05,0,0,0,
East,2018-08-19,2018-08-13,2018-08-19,15,7,0,0.0
East,2018-09-02,2018-08-27,2018-09-02,0,0,0,
East,2018-09-09,2018-09-03,2018-09-09,0,0,0,
East,2018-09-16,2018-09-10,2018-09-16,142,0,0,
East,2018-09-23,2018-09-17,2018-09-23,0,0,0,
East,2018-09-30,2018-09-24,2018-09-30,0,0,0,
East,2018-10-07,2018-10-01,2018-10-07,0,0,0,
East,2018-10-14,2018-10-08,2018-10-14,0,0,0,
East,2018-10-21,2018-10-15,2018-10-21,0,0,0,
East,2018-10-28,2018-10-22,2018-10-28,0,0,0,
East,2018-11-04,2018-10-29,2018-11-04,0,0,0,
East,2018-11-11,2018-11-05,2018-11-11,0,0,0,
East,2018-11-18,2018-11-12,2018-11-18,0,0,0,
East,2018-11-25,2018-11-19,2018-11-25,0,0,0,
East,2018-12-02,2018-11-26,2018-12-02,0,0,0,
East,2018-12-16,2018-12-10,2018-12-16,0,0,0,
East,2018-12-23,2018-12-17,2018-12-23,0,0,0,
East,2018-12-30,2018-12-24,2018-12-30,0,0,0,
East,2019-01-06,2018-12-31,2019-01-06,0,0,0,
East,2019-01-13,2019-01-07,2019-01-13,0,0,0,
East,2019-01-20,2019-01-14,2019-01-20,0,0,0,
East,2019-01-27,2019-01-21,2019-01-27,0,0,0,
East,2019-02-03,2019-01-28,2019-02-03,0,0,0,
East,2019-02-10,2019-02-04,2019-02-10,0,0,0,
East,2019-02-17,2019-02-11,2019-02-17,18,10,0,0.0
East,2019-02-24,2019-02-18,2019-02-24,0,0,0,
East,2019-03-03,2019-02-25,2019-03-03,0,0,0,
East,2019-03-10,2019-03-04,2019-03-10,0,0,0,
East,2019-03-17,2019-03-11,2019-03-17,0,0,0,
East,2019-03-24,2019-03-18,2019-03-24,0,0,0,
East,2019-05-19,2019-05-13,2019-05-19,39,10,0,0.0
Far North,2018-01-07,2018-01-01,2018-01-07,0,0,0,
Far North,2018-01-14,2018-01-08,2018-01-14,0,0,0,
Far North,2018-01-21,2018-01-15,2018-01-21,0,0,0,
Far North,2018-01-28,2018-01-22,2018-01-28,0,0,0,
Far North,2018-02-04,2018-01-29,2018-02-04,0,0,0,
Far North,2018-02-11,2018-02-05,2018-02-11,0,0,0,
Far North,2018-02-18,2018-02-12,2018-02-18,0,0,0,
Far North,2018-02-25,2018-02-19,2018-02-25,0,0,0,
Far North,2018-03-04,2018-02-26,2018-03-04,30,8,0,0.0
Far North,2018-03-11,2018-03-05,2018-03-11,0,0,0,
Far North,2018-03-18,2018-03-12,2018-03-18,0,0,0,
Far North,2018-03-25,2018-03-19,2018-03-25,0,0,0,
Far North,2018-04-01,2018-03-26,2018-04-01,0,0,0,
Far North,2018-04-08,2018-04-02,2018-04-08,0,0,0,
Far North,2018-04-15,2018-04-09,2018-04-15,0,0,0,
Far North,2018-04-22,2018-04-16,2018-04-22,1,1,0,0.0
Far North,2018-04-29,2018-04-23,2018-04-29,0,0,0,
Far North,2018-05-06,2018-04-30,2018-05-06,0,0,0,
Far North,2018-05-13,2018-05-07,2018-05-13,127,63,2,3.17
Far North,2018-05-20,2018-05-14,2018-05-20,0,0,0,
Far North,2018-05-27,2018-05-21,2018-05-27,138,95,1,1.05
Far North,2018-06-03,2018-05-28,2018-06-03,0,0,0,
Far North,2018-06-10,2018-06-04,2018-06-10,0,0,0,
Far North,2018-06-17,2018-06-11,2018-06-17,0,0,0,
Far North,2018-06-24,2018-06-18,2018-06-24,0,0,0,
Far North,2018-07-01,2018-06-25,2018-07-01,113,47,1,2.13
Far North,2018-07-08,2018-07-02,2018-07-08,0,0,0,
Far North,2018-07-15,2018-07-09,2018-07-15,0,0,0,
Far North,2018-07-22,2018-07-16,2018-07-22,0,0,0,
Far North,2018-07-29,2018-07-23,2018-07-29,0,0,0,
Far North,2018-08-05,2018-07-30,2018-08-05,0,0,0,
Far North,2018-08-19,2018-08-13,2018-08-19,0,0,0,
Far North,2018-09-02,2018-08-27,2018-09-02,0,0,0,
Far North,2018-09-09,2018-09-03,2018-09-09,0,0,0,
Far North,2018-09-16,2018-09-10,2018-09-16,0,0,0,
Far North,2018-09-23,2018-09-17,2018-09-23,0,0,0,
Far North,2018-09-30,2018-09-24,2018-09-30,0,0,0,
Far North,2018-10-07,2018-10-01,2018-10-07,83,52,2,3.85
Far North,2018-10-14,2018-10-08,2018-10-14,17,0,1,
Far North,2018-10-21,2018-10-15,2018-10-21,53,18,0,0.0
Far North,2018-10-28,2018-10-22,2018-10-28,119,50,1,2.0
Far North,2018-11-04,2018-10-29,2018-11-04,91,37,1,2.7
Far North,2018-11-11,2018-11-05,2018-11-11,64,0,0,
Far North,2018-11-18,2018-11-12,2018-11-18,24,8,0,0.0
Far North,2018-11-25,2018-11-19,2018-11-25,36,14,0,0.0
Far North,2018-12-02,2018-11-26,2018-12-02,28,9,0,0.0
Far North,2018-12-09,2018-12-03,2018-12-09,39,0,0,
Far North,2018-12-16,2018-12-10,2018-12-16,0,0,0,
Far North,2018-12-23,2018-12-17,2018-12-23,27,15,0,0.0
Far North,2018-12-30,2018-12-24,2018-12-30,44,0,0,
Far North,2019-01-06,2018-12-31,2019-01-06,0,0,0,
Far North,2019-01-13,2019-01-07,2019-01-13,0,0,0,
Far North,2019-01-20,2019-01-14,2019-01-20,0,0,0,
Far North,2019-01-27,2019-01-21,2019-01-27,0,0,0,
Far North,2019-02-03,2019-01-28,2019-02-03,0,0,0,
Far North,2019-02-10,2019-02-04,2019-02-10,0,0,0,
Far North,2019-02-17,2019-02-11,2019-02-17,0,0,0,
Far North,2019-02-24,2019-02-18,2019-02-24,0,0,0,
Far North,2019-03-03,2019-02-25,2019-03-03,0,0,0,
Far North,2019-03-10,2019-03-04,2019-03-10,0,0,0,
Far North,2019-03-17,2019-03-11,2019-03-17,0,0,0,
Far North,2019-03-24,2019-03-18,2019-03-24,0,0,0,
Far North,2019-05-19,2019-05-13,2019-05-19,47,29,0,0.0
Far North,2019-07-07,2019-07-01,2019-07-07,38,25,2,8.0
Far North,2019-07-14,2019-07-08,2019-07-14,111,66,2,3.03
Far North,2019-07-21,2019-07-15,2019-07-21,28,0,0,
Far North,2019-07-28,2019-07-22,2019-07-28,84,24,1,4.17
Far North,2019-08-04,2019-07-29,2019-08-04,2,1,0,0.0
Far North,2019-08-11,2019-08-05,2019-08-11,27,15,0,0.0
Far North,2019-08-18,2019-08-12,2019-08-18,79,21,0,0.0
Far North,2019-08-25,2019-08-19,2019-08-25,76,0,0,
Far North,2019-09-01,2019-08-26,2019-09-01,101,67,1,1.49
Far North,2019-09-08,2019-09-02,2019-09-08,66,35,2,5.71
Far North,2019-09-15,2019-09-09,2019-09-15,109,36,1,2.78
Far North,2019-09-22,2019-09-16,2019-09-22,98,62,1,1.61
Far North,2019-09-29,2019-09-23,2019-09-29,5,3,0,0.0
Far North,2019-10-06,2019-09-30,2019-10-06,77,0,0,
Far North,2019-10-13,2019-10-07,2019-10-13,114,64,1,1.56
Far North,2019-10-20,2019-10-14,2019-10-20,54,30,1,3.33
Far North,2019-10-27,2019-10-21,2019-10-27,106,62,2,3.23
Far North,2019-11-03,2019-10-28,2019-11-03,37,16,0,0.0
Far North,2019-11-10,2019-11-04,2019-11-10,16,5,0,0.0
Far North,2019-11-24,2019-11-18,2019-11-24,0,0,0,
Far North,2022-10-21,2022-10-10,2022-10-21,176,0,0,
Littoral,2018-01-07,2018-01-01,2018-01-07,0,0,0,
Littoral,2018-01-14,2018-01-08,2018-01-14,0,0,0,
Littoral,2018-01-21,2018-01-15,2018-01-21,0,0,0,
Littoral,2018-01-28,2018-01-22,2018-01-28,0,0,0,
Littoral,2018-02-04,2018-01-29,2018-02-04,0,0,0,
Littoral,2018-02-11,2018-02-05,2018-02-11,0,0,0,
Littoral,2018-02-18,2018-02-12,2018-02-18,45,16,0,0.0
Littoral,2018-02-25,2018-02-19,2018-02-25,0,0,0,
Littoral,2018-03-04,2018-02-26,2018-03-04,0,0,0,
Littoral,2018-03-11,2018-03-05,2018-03-11,36,0,0,
Littoral,2018-03-18,2018-03-12,2018-03-18,38,0,0,
Littoral,2018-03-25,2018-03-19,2018-03-25,0,0,0,
Littoral,2018-04-01,2018-03-26,2018-04-01,0,0,0,
Littoral,2018-04-08,2018-04-02,2018-04-08,56,32,0,0.0
Littoral,2018-04-15,2018-04-09,2018-04-15,0,0,0,
Littoral,2018-04-22,2018-04-16,2018-04-22,0,0,0,
Littoral,2018-04-29,2018-04-23,2018-04-29,0,0,0,
Littoral,2018-05-06,2018-04-30,2018-05-06,0,0,0,
Littoral,2018-05-13,2018-05-07,2018-05-13,0,0,0,
Littoral,2018-05-20,2018-05-14,2018-05-20,37,0,0,
Littoral,2018-05-27,2018-05-21,2018-05-27,0,0,0,
Littoral,2018-06-03,2018-05-28,2018-06-03,0,0,0,
Littoral,2018-06-10,2018-06-04,2018-06-10,45,0,0,
