,Region,TL,TR,reporting_date,sCh,cCh,deaths,CFR
62,Adamaoua,2011-03-07,2011-03-13,2011-03-13,0,0,0,0.0
63,Adamaoua,2011-03-14,2011-03-20,2011-03-20,49,16,0,0.0
64,Adamaoua,2011-03-21,2011-03-27,2011-03-27,7,3,0,0.0
65,Adamaoua,2011-03-28,2011-04-03,2011-04-03,23,14,0,0.0
66,Adamaoua,2011-04-04,2011-04-10,2011-04-10,0,0,0,0.0
67,Adamaoua,2011-04-11,2011-04-17,2011-04-17,43,13,0,0.0
68,Adamaoua,2011-04-18,2011-04-24,2011-04-24,101,15,0,0.0
69,Adamaoua,2011-04-25,2011-05-01,2011-05-01,56,17,1,5.88235294117647
70,Adamaoua,2011-05-02,2011-05-08,2011-05-08,0,0,0,0.0
71,Adamaoua,2011-05-09,2011-05-15,2011-05-15,70,13,0,0.0
72,Adamaoua,2011-05-16,2011-05-22,2011-05-22,0,0,0,0.0
73,Adamaoua,2011-05-23,2011-05-29,2011-05-29,34,0,0,0.0
74,Adamaoua,2011-05-30,2011-06-05,2011-06-05,87,31,1,3.225806451612903
75,Adamaoua,2011-06-06,2011-06-12,2011-06-12,41,18,0,0.0
76,Adamaoua,2011-06-13,2011-06-19,2011-06-19,68,0,0,0.0
77,Adamaoua,2011-06-20,2011-06-26,2011-06-26,44,26,1,3.8461538461538463
78,Adamaoua,2011-06-27,2011-07-03,2011-07-03,0,0,0,0.0
79,Adamaoua,2011-07-04,2011-07-10,2011-07-10,48,0,0,0.0
80,Adamaoua,2011-07-11,2011-07-17,2011-07-17,145,0,0,0.0
81,Adamaoua,2011-07-18,2011-07-24,2011-07-24,190,68,3,4.411764705882353
82,Adamaoua,2011-07-25,2011-07-31,2011-07-31,67,0,0,0.0
83,Adamaoua,2011-08-01,2011-08-07,2011-08-07,53,19,0,0.0
84,Adamaoua,2011-08-08,2011-08-14,2011-08-14,53,23,0,0.0
85,Adamaoua,2011-08-15,2011-08-21,2011-08-21,111,10,0,0.0
86,Adamaoua,2011-08-22,2011-08-28,2011-08-28,268,38,0,0.0
87,Adamaoua,2011-08-29,2011-09-04,2011-09-04,0,0,0,0.0
88,Adamaoua,2011-09-05,2011-09-11,2011-09-11,204,57,1,1.7543859649122806
89,Adamaoua,2011-09-12,2011-09-18,2011-09-18,118,13,0,0.0
90,Adamaoua,2011-09-19,2011-09-25,2011-09-25,22,12,0,0.0
91,Adamaoua,2011-09-26,2011-10-02,2011-10-02,225,96,1,1.0416666666666665
92,Adamaoua,2011-10-03,2011-10-09,2011-10-09,135,29,1,3.4482758620689653
93,Adamaoua,2011-10-10,2011-10-16,2011-10-16,67,23,0,0.0
94,Adamaoua,2011-10-17,2011-10-23,2011-10-23,129,39,0,0.0
95,Adamaoua,2011-10-24,2011-10-30,2011-10-30,0,0,0,0.0
96,Adamaoua,2011-10-31,2011-11-06,2011-11-06,0,0,0,0.0
97,Adamaoua,2011-11-07,2011-11-13,2011-11-13,91,15,0,0.0
98,Adamaoua,2011-11-14,2011-11-20,2011-11-20,0,0,0,0.0
99,Adamaoua,2011-11-21,2011-11-27,2011-11-27,51,32,0,0.0
100,Adamaoua,2011-11-28,2011-12-04,2011-12-04,0,0,0,0.0
101,Adamaoua,2011-12-05,2011-12-11,2011-12-11,0,0,0,0.0
102,Adamaoua,2011-12-12,2011-12-18,2011-12-18,0,0,0,0.0
103,Adamaoua,2011-12-19,2011-12-25,2011-12-25,49,17,0,0.0
104,Adamaoua,2011-12-26,2012-01-01,2012-01-01,0,0,0,0.0
105,Adamaoua,2012-01-02,2012-01-08,2012-01-08,28,0,0,0.0
106,Adamaoua,2012-01-09,2012-01-15,2012-01-15,2,1,0,0.0
107,Adamaoua,2012-01-16,2012-01-22,2012-01-22,155,0,0,0.0
108,Adamaoua,2012-01-23,2012-01-29,2012-01-29,58,21,0,0.0
109,Adamaoua,2012-01-30,2012-02-05,2012-02-05,75,41,1,2.4390243902439024
110,Adamaoua,2012-02-06,2012-02-12,2012-02-12,65,0,0,0.0
111,Adamaoua,2012-02-13,2012-02-19,2012-02-19,24,14,0,0.0
112,Adamaoua,2012-02-20,2012-02-26,2012-02-26,0,0,0,0.0
113,Adamaoua,2012-02-27,2012-03-04,2012-03-04,88,50,1,2.0
114,Adamaoua,2012-03-05,2012-03-11,2012-03-11,64,33,0,0.0
115,Adamaoua,2012-03-12,2012-03-18,2012-03-18,0,0,0,0.0
116,Adamaoua,2012-03-19,2012-03-25,2012-03-25,0,0,0,0.0
117,Adamaoua,2012-03-26,2012-04-01,2012-04-01,276,115,3,2.608695652173913
118,Adamaoua,2012-04-02,2012-04-08,2012-04-08,96,54,1,1.8518518518518516
119,Adamaoua,2012-04-09,2012-04-15,2012-04-15,106,51,1,1.9607843137254901
120,Adamaoua,2012-04-16,2012-04-22,2012-04-22,0,0,0,0.0
121,Adamaoua,2012-04-23,2012-04-29,2012-04-29,0,0,0,0.0
122,Adamaoua,2012-04-30,2012-05-06,2012-05-06,29,9,0,0.0
123,Adamaoua,2012-05-07,2012-05-13,2012-05-13,171,97,1,1.0309278350515463
124,Adamaoua,2012-05-14,2012-05-20,2012-05-20,327,183,5,2.73224043715847
125,Adamaoua,2012-05-21,2012-05-27,2012-05-27,0,0,0,0.0
126,Adamaoua,2012-05-28,2012-06-03,2012-06-03,30,19,0,0.0
127,Adamaoua,2012-06-04,2012-06-10,2012-06-10,0,0,0,0.0
128,Adamaoua,2012-06-11,2012-06-17,2012-06-17,25,13,0,0.0
129,Adamaoua,2012-06-18,2012-06-24,2012-06-24,0,0,0,0.0
130,Adamaoua,2012-06-25,2012-07-01,2012-07-01,182,90,1,1.1111111111111112
131,Adamaoua,2012-07-02,2012-07-08,2012-07-08,0,0,0,0.0
132,Adamaoua,2012-07-09,2012-07-15,2012-07-15,5,2,0,0.0
133,Adamaoua,2012-07-16,2012-07-22,2012-07-22,44,0,0,0.0
134,Adamaoua,2012-07-23,2012-07-29,2012-07-29,37,10,0,0.0
135,Adamaoua,2012-07-30,2012-08-05,2012-08-05,228,81,2,2.4691358024691357
136,Adamaoua,2012-08-06,2012-08-12,2012-08-12,0,0,0,0.0
137,Adamaoua,2012-08-13,2012-08-19,2012-08-19,0,0,0,0.0
138,Adamaoua,2012-08-20,2012-08-26,2012-08-26,0,0,0,0.0
139,Adamaoua,2012-08-27,2012-09-02,2012-09-02,57,30,0,0.0
140,Adamaoua,2012-09-03,2012-09-09,2012-09-09,0,0,0,0.0
141,Adamaoua,2012-09-10,2012-09-16,2012-09-16,108,28,1,3.571428571428571
142,Adamaoua,2012-09-17,2012-09-23,2012-09-23,68,45,1,2.2222222222222223
143,Adamaoua,2012-09-24,2012-09-30,2012-09-30,0,0,0,0.0
144,Adamaoua,2012-10-01,2012-10-07,2012-10-07,0,0,0,0.0
145,Adamaoua,2012-10-08,2012-10-14,2012-10-14,114,47,0,0.0
146,Adamaoua,2012-10-15,2012-10-21,2012-10-21,231,50,1,2.0
147,Adamaoua,2012-10-22,2012-10-28,2012-10-28,47,0,0,0.0
148,Adamaoua,2012-10-29,2012-11-04,2012-11-04,120,25,0,0.0
149,Adamaoua,2012-11-05,2012-11-11,2012-11-11,0,0,0,0.0
150,Adamaoua,2012-11-12,2012-11-18,2012-11-18,0,0,0,0.0
151,Adamaoua,2012-11-19,2012-11-25,2012-11-25,0,0,0,0.0
152,Adamaoua,2012-11-26,2012-12-02,2012-12-02,0,0,0,0.0
153,Adamaoua,2012-12-03,2012-12-09,2012-12-09,47,7,1,14.285714285714285
154,Adamaoua,2012-12-10,2012-12-16,2012-12-16,30,17,0,0.0
155,Adamaoua,2012-12-17,2012-12-23,2012-12-23,54,17,0,0.0
156,Adamaoua,2012-12-24,2012-12-30,2012-12-30,32,0,0,0.0
157,Adamaoua,2012-12-31,2013-01-06,2013-01-06,32,0,0,0.0
158,Adamaoua,2013-01-07,2013-01-13,2013-01-13,0,0,0,0.0
159,Adamaoua,2013-01-14,2013-01-20,2013-01-20,40,17,0,0.0
160,Adamaoua,2013-01-21,2013-01-27,2013-01-27,43,17,0,0.0
161,Adamaoua,2013-01-28,2013-02-03,2013-02-03,53,26,0,0.0
162,Adamaoua,2013-02-04,2013-02-10,2013-02-10,0,0,0,0.0
163,Adamaoua,2013-02-11,2013-02-17,2013-02-17,0,0,0,0.0
164,Adamaoua,2013-02-18,2013-02-24,2013-02-24,2,0,0,0.0
165,Adamaoua,2013-02-25,2013-03-03,2013-03-03,0,0,0,0.0
166,Adamaoua,2013-03-04,2013-03-10,2013-03-10,62,0,0,0.0
167,Adamaoua,2013-03-11,2013-03-17,2013-03-17,0,0,0,0.0
168,Adamaoua,2013-03-18,2013-03-24,2013-03-24,103,60,1,1.6666666666666667
169,Adamaoua,2013-03-25,2013-03-31,2013-03-31,35,9,0,0.0
170,Adamaoua,2013-04-01,2013-04-07,2013-04-07,0,0,0,0.0
171,Adamaoua,2013-04-08,2013-04-14,2013-04-14,0,0,0,0.0
172,Adamaoua,2013-04-15,2013-04-21,2013-04-21,43,0,0,0.0
173,Adamaoua,2013-04-22,2013-04-28,2013-04-28,152,96,2,2.083333333333333
174,Adamaoua,2013-04-29,2013-05-05,2013-05-05,0,0,0,0.0
175,Adamaoua,2013-05-06,2013-05-12,2013-05-12,23,0,0,0.0
176,Adamaoua,2013-05-13,2013-05-19,2013-05-19,135,46,1,2.1739130434782608
177,Adamaoua,2013-05-20,2013-05-26,2013-05-26,0,0,0,0.0
178,Adamaoua,2013-05-27,2013-06-02,2013-06-02,0,0,0,0.0
179,Adamaoua,2013-06-03,2013-06-09,2013-06-09,60,16,0,0.0
180,Adamaoua,2013-06-10,2013-06-16,2013-06-16,33,0,0,0.0
181,Adamaoua,2013-06-17,2013-06-23,2013-06-23,101,18,0,0.0
182,Adamaoua,2013-06-24,2013-06-30,2013-06-30,92,60,0,0.0
183,Adamaoua,2013-07-01,2013-07-07,2013-07-07,103,15,0,0.0
184,Adamaoua,2013-07-08,2013-07-14,2013-07-14,0,0,0,0.0
185,Adamaoua,2013-07-15,2013-07-21,2013-07-21,0,0,0,0.0
186,Adamaoua,2013-07-22,2013-07-28,2013-07-28,21,11,0,0.0
187,Adamaoua,2013-07-29,2013-08-04,2013-08-04,33,1,0,0.0
188,Adamaoua,2013-08-05,2013-08-11,2013-08-11,96,0,1,0.0
189,Adamaoua,2013-08-12,2013-08-18,2013-08-18,134,75,1,1.3333333333333335
190,Adamaoua,2013-08-19,2013-08-25,2013-08-25,0,0,0,0.0
191,Adamaoua,2013-08-26,2013-09-01,2013-09-01,0,0,0,0.0
192,Adamaoua,2013-09-02,2013-09-08,2013-09-08,0,0,0,0.0
193,Adamaoua,2013-09-09,2013-09-15,2013-09-15,40,25,0,0.0
194,Adamaoua,2013-09-16,2013-09-22,2013-09-22,145,60,1,1.6666666666666667
195,Adamaoua,2013-09-23,2013-09-29,2013-09-29,0,0,0,0.0
196,Adamaoua,2013-09-30,2013-10-06,2013-10-06,185,0,0,0.0
197,Adamaoua,2013-10-07,2013-10-13,2013-10-13,0,0,0,0.0
198,Adamaoua,2013-10-14,2013-10-20,2013-10-20,36,21,1,4.761904761904762
199,Adamaoua,2013-10-21,2013-10-27,2013-10-27,0,0,0,0.0
200,Adamaoua,2013-10-28,2013-11-03,2013-11-03,76,6,0,0.0
201,Adamaoua,2013-11-04,2013-11-10,2013-11-10,0,0,0,0.0
202,Adamaoua,2013-11-11,2013-11-17,2013-11-17,25,13,0,0.0
203,Adamaoua,2013-11-18,2013-11-24,2013-11-24,0,0,0,0.0
204,Adamaoua,2013-11-25,2013-12-01,2013-12-01,0,0,0,0.0
205,Adamaoua,2013-12-02,2013-12-08,2013-12-08,90,0,0,0.0
206,Adamaoua,2013-12-09,2013-12-15,2013-12-15,22,0,0,0.0
207,Adamaoua,2013-12-16,2013-12-22,2013-12-22,0,0,0,0.0
208,Adamaoua,2013-12-23,2013-12-29,2013-12-29,0,0,0,0.0
209,Adamaoua,2013-12-30,2014-01-05,2014-01-05,116,40,1,2.5
210,Adamaoua,2014-01-06,2014-01-12,2014-01-12,0,0,0,0.0
211,Adamaoua,2014-01-13,2014-01-19,2014-01-19,0,0,0,0.0
212,Adamaoua,2014-01-20,2014-01-26,2014-01-26,78,24,0,0.0
213,Adamaoua,2014-01-27,2014-02-02,2014-02-02,0,0,0,0.0
214,Adamaoua,2014-02-03,2014-02-09,2014-02-09,0,0,0,0.0
215,Adamaoua,2014-02-10,2014-02-16,2014-02-16,95,0,0,0.0
216,Adamaoua,2014-02-17,2014-02-23,2014-02-23,32,17,0,0.0
217,Adamaoua,2014-02-24,2014-03-02,2014-03-02,76,39,0,0.0
218,Adamaoua,2014-03-03,2014-03-09,2014-03-09,128,38,1,2.631578947368421
219,Adamaoua,2014-03-10,2014-03-16,2014-03-16,54,17,0,0.0
220,Adamaoua,2014-03-17,2014-03-23,2014-03-23,102,31,0,0.0
221,Adamaoua,2014-03-24,2014-03-30,2014-03-30,0,0,0,0.0
222,Adamaoua,2014-03-31,2014-04-06,2014-04-06,0,0,0,0.0
223,Adamaoua,2014-04-07,2014-04-13,2014-04-13,24,0,0,0.0
224,Adamaoua,2014-04-14,2014-04-20,2014-04-20,0,0,0,0.0
225,Adamaoua,2014-04-21,2014-04-27,2014-04-27,0,0,0,0.0
226,Adamaoua,2014-04-28,2014-05-04,2014-05-04,96,22,1,4.545454545454546
227,Adamaoua,2014-05-05,2014-05-11,2014-05-11,54,32,0,0.0
228,Adamaoua,2014-05-12,2014-05-18,2014-05-18,196,45,1,2.2222222222222223
229,Adamaoua,2014-05-19,2014-05-25,2014-05-25,0,0,0,0.0
230,Adamaoua,2014-05-26,2014-06-01,2014-06-01,0,0,0,0.0
231,Adamaoua,2014-06-02,2014-06-08,2014-06-08,0,0,0,0.0
232,Adamaoua,2014-06-09,2014-06-15,2014-06-15,30,14,0,0.0
233,Adamaoua,2014-06-16,2014-06-22,2014-06-22,185,66,1,1.5151515151515151
234,Adamaoua,2014-06-23,2014-06-29,2014-06-29,62,0,0,0.0
235,Adamaoua,2014-06-30,2014-07-06,2014-07-06,0,0,0,0.0
236,Adamaoua,2014-07-07,2014-07-13,2014-07-13,0,0,0,0.0
237,Adamaoua,2014-07-14,2014-07-20,2014-07-20,9,5,0,0.0
238,Adamaoua,2014-07-21,2014-07-27,2014-07-27,0,0,0,0.0
239,Adamaoua,2014-07-28,2014-08-03,2014-08-03,0,0,0,0.0
240,Adamaoua,2014-08-04,2014-08-10,2014-08-10,0,0,0,0.0
241,Adamaoua,2014-08-11,2014-08-17,2014-08-17,40,10,0,0.0
242,Adamaoua,2014-08-18,2014-08-24,2014-08-24,0,0,0,0.0
243,Adamaoua,2014-08-25,2014-08-31,2014-08-31,0,0,0,0.0
244,Adamaoua,2014-09-01,2014-09-07,2014-09-07,122,21,0,0.0
245,Adamaoua,2014-09-08,2014-09-14,2014-09-14,58,25,1,4.0
246,Adamaoua,2014-09-15,2014-09-21,2014-09-21,46,0,0,0.0
247,Adamaoua,2014-09-22,2014-09-28,2014-09-28,0,0,0,0.0
248,Adamaoua,2014-09-29,2014-10-05,2014-10-05,26,0,0,0.0
249,Adamaoua,2014-10-06,2014-10-12,2014-10-12,25,15,0,0.0
250,Adamaoua,2014-10-13,2014-10-19,2014-10-19,0,0,0,0.0
251,Adamaoua,2014-10-20,2014-10-26,2014-10-26,0,0,0,0.0
252,Adamaoua,2014-10-27,2014-11-02,2014-11-02,136,0,0,0.0
253,Adamaoua,2014-11-03,2014-11-09,2014-11-09,0,0,0,0.0
254,Adamaoua,2014-11-10,2014-11-16,2014-11-16,0,0,0,0.0
255,Adamaoua,2014-11-17,2014-11-23,2014-11-23,0,0,0,0.0
256,Adamaoua,2014-11-24,2014-11-30,2014-11-30,14,5,0,0.0
257,Adamaoua,2014-12-01,2014-12-07,2014-12-07,25,0,0,0.0
258,Adamaoua,2014-12-08,2014-12-14,2014-12-14,189,65,1,1.5384615384615385
259,Adamaoua,2014-12-15,2014-12-21,2014-12-21,0,0,0,0.0
260,Adamaoua,2014-12-22,2014-12-28,2014-12-28,0,0,0,0.0
261,Adamaoua,2014-12-29,2015-01-04,2015-01-04,139,40,1,2.5
262,Adamaoua,2015-01-05,2015-01-11,2015-01-11,56,14,0,0.0
263,Adamaoua,2015-01-12,2015-01-18,2015-01-18,230,60,2,3.3333333333333335
264,Adamaoua,2015-01-19,2015-01-25,2015-01-25,44,0,1,0.0
265,Adamaoua,2015-01-26,2015-02-01,2015-02-01,15,0,0,0.0
266,Adamaoua,2015-02-02,2015-02-08,2015-02-08,39,0,0,0.0
267,Adamaoua,2015-02-09,2015-02-15,2015-02-15,0,0,0,0.0
268,Adamaoua,2015-02-16,2015-02-22,2015-02-22,26,0,0,0.0
269,Adamaoua,2015-02-23,2015-03-01,2015-03-01,0,0,0,0.0
270,Adamaoua,2015-03-02,2015-03-08,2015-03-08,0,0,0,0.0
271,Adamaoua,2015-03-09,2015-03-15,2015-03-15,0,0,0,0.0
272,Adamaoua,2015-03-16,2015-03-22,2015-03-22,53,22,0,0.0
273,Adamaoua,2015-03-23,2015-03-29,2015-03-29,0,0,0,0.0
274,Adamaoua,2015-03-30,2015-04-05,2015-04-05,0,0,0,0.0
275,Adamaoua,2015-04-06,2015-04-12,2015-04-12,47,19,0,0.0
276,Adamaoua,2015-04-13,2015-04-19,2015-04-19,0,0,0,0.0
277,Adamaoua,2015-04-20,2015-04-26,2015-04-26,0,0,0,0.0
278,Adamaoua,2015-04-27,2015-05-03,2015-05-03,0,0,0,0.0
279,Adamaoua,2015-05-04,2015-05-10,2015-05-10,0,0,0,0.0
280,Adamaoua,2015-05-11,2015-05-17,2015-05-17,29,0,0,0.0
281,Adamaoua,2015-05-18,2015-05-24,2015-05-24,0,0,0,0.0
282,Adamaoua,2015-05-25,2015-05-31,2015-05-31,97,40,0,0.0
283,Adamaoua,2015-06-01,2015-06-07,2015-06-07,0,0,0,0.0
284,Adamaoua,2015-06-08,2015-06-14,2015-06-14,0,0,0,0.0
285,Adamaoua,2015-06-15,2015-06-21,2015-06-21,39,21,0,0.0
286,Adamaoua,2015-06-22,2015-06-28,2015-06-28,0,0,0,0.0
287,Adamaoua,2015-06-29,2015-07-05,2015-07-05,0,0,0,0.0
288,Adamaoua,2015-07-06,2015-07-12,2015-07-12,44,0,0,0.0
289,Adamaoua,2015-07-13,2015-07-19,2015-07-19,0,0,0,0.0
290,Adamaoua,2015-07-20,2015-07-26,2015-07-26,102,46,1,2.1739130434782608
291,Adamaoua,2015-07-27,2015-08-02,2015-08-02,38,20,0,0.0
292,Adamaoua,2015-08-03,2015-08-09,2015-08-09,5,1,0,0.0
293,Adamaoua,2015-08-10,2015-08-16,2015-08-16,43,17,0,0.0
294,Adamaoua,2015-08-17,2015-08-23,2015-08-23,104,66,2,3.0303030303030303
295,Adamaoua,2015-08-24,2015-08-30,2015-08-30,116,46,1,2.1739130434782608
296,Adamaoua,2015-08-31,2015-09-06,2015-09-06,170,100,1,1.0
297,Adamaoua,2015-09-07,2015-09-13,2015-09-13,79,42,0,0.0
298,Adamaoua,2015-09-14,2015-09-20,2015-09-20,0,0,0,0.0
299,Adamaoua,2015-09-21,2015-09-27,2015-09-27,75,24,0,0.0
300,Adamaoua,2015-09-28,2015-10-04,2015-10-04,0,0,0,0.0
301,Adamaoua,2015-10-05,2015-10-11,2015-10-11,91,50,0,0.0
302,Adamaoua,2015-10-12,2015-10-18,2015-10-18,55,15,0,0.0
303,Adamaoua,2015-10-19,2015-10-25,2015-10-25,75,0,1,0.0
304,Adamaoua,2015-10-26,2015-11-01,2015-11-01,22,0,0,0.0
305,Adamaoua,2015-11-02,2015-11-08,2015-11-08,122,31,0,0.0
306,Adamaoua,2015-11-09,2015-11-15,2015-11-15,37,0,0,0.0
307,Adamaoua,2015-11-16,2015-11-22,2015-11-22,52,0,0,0.0
308,Adamaoua,2015-11-23,2015-11-29,2015-11-29,0,0,0,0.0
309,Adamaoua,2015-11-30,2015-12-06,2015-12-06,0,0,0,0.0
310,Adamaoua,2015-12-07,2015-12-13,2015-12-13,35,0,0,0.0
311,Adamaoua,2015-12-14,2015-12-20,2015-12-20,0,0,0,0.0
312,Adamaoua,2015-12-21,2015-12-27,2015-12-27,0,0,0,0.0
313,Adamaoua,2016-01-04,2016-01-10,2016-01-10,38,22,0,0.0
314,Adamaoua,2016-01-11,2016-01-17,2016-01-17,15,3,0,0.0
315,Adamaoua,2016-01-18,2016-01-24,2016-01-24,0,0,0,0.0
316,Adamaoua,2016-01-25,2016-01-31,2016-01-31,0,0,0,0.0
317,Adamaoua,2016-02-01,2016-02-07,2016-02-07,23,6,0,0.0
318,Adamaoua,2016-02-08,2016-02-14,2016-02-14,0,0,0,0.0
319,Adamaoua,2016-02-15,2016-02-21,2016-02-21,0,0,0,0.0
320,Adamaoua,2016-02-22,2016-02-28,2016-02-28,10,4,0,0.0
321,Adamaoua,2016-02-29,2016-03-06,2016-03-06,76,37,1,2.7027027027027026
322,Adamaoua,2016-03-07,2016-03-13,2016-03-13,235,125,2,1.6
323,Adamaoua,2016-03-14,2016-03-20,2016-03-20,0,0,0,0.0
324,Adamaoua,2016-03-21,2016-03-27,2016-03-27,29,8,0,0.0
325,Adamaoua,2016-03-28,2016-04-03,2016-04-03,0,0,0,0.0
326,Adamaoua,2016-04-04,2016-04-10,2016-04-10,0,0,0,0.0
327,Adamaoua,2016-04-11,2016-04-17,2016-04-17,54,30,1,3.3333333333333335
328,Adamaoua,2016-04-18,2016-04-24,2016-04-24,0,0,0,0.0
329,Adamaoua,2016-04-25,2016-05-01,2016-05-01,0,0,0,0.0
330,Adamaoua,2016-05-02,2016-05-08,2016-05-08,250,79,3,3.79746835443038
331,Adamaoua,2016-05-09,2016-05-15,2016-05-15,82,32,1,3.125
332,Adamaoua,2016-05-16,2016-05-22,2016-05-22,36,0,0,0.0
333,Adamaoua,2016-05-23,2016-05-29,2016-05-29,0,0,0,0.0
334,Adamaoua,2016-05-30,2016-06-05,2016-06-05,27,11,0,0.0
335,Adamaoua,2016-06-06,2016-06-12,2016-06-12,84,28,0,0.0
336,Adamaoua,2016-06-13,2016-06-19,2016-06-19,0,0,0,0.0
337,Adamaoua,2016-06-20,2016-06-26,2016-06-26,76,38,1,2.631578947368421
338,Adamaoua,2016-06-27,2016-07-03,2016-07-03,0,0,0,0.0
339,Adamaoua,2016-07-04,2016-07-10,2016-07-10,0,0,0,0.0
340,Adamaoua,2016-07-11,2016-07-17,2016-07-17,38,23,1,4.3478260869565215
341,Adamaoua,2016-07-18,2016-07-24,2016-07-24,0,0,0,0.0
342,Adamaoua,2016-07-25,2016-07-31,2016-07-31,0,0,0,0.0
