TL,TR,reporting_date,sCh,cCh,CFR
2010-11-29,2010-12-05,2010-12-05,174,94,5.32
2010-12-06,2010-12-12,2010-12-12,135,0,
2010-12-13,2010-12-19,2010-12-19,11,6,0.0
2010-12-20,2010-12-26,2010-12-26,135,32,6.25
2010-12-27,2011-01-02,2011-01-02,185,66,7.58
2011-01-03,2011-01-09,2011-01-09,135,77,3.9
2011-01-10,2011-01-16,2011-01-16,100,28,7.14
2011-01-17,2011-01-23,2011-01-23,143,66,6.06
2011-01-24,2011-01-30,2011-01-30,131,33,6.06
2011-01-31,2011-02-06,2011-02-06,154,65,3.08
2011-02-07,2011-02-13,2011-02-13,166,108,4.63
2011-02-14,2011-02-20,2011-02-20,178,0,
2011-02-21,2011-02-27,2011-02-27,178,115,3.48
2011-02-28,2011-03-06,2011-03-06,197,0,
2011-03-07,2011-03-13,2011-03-13,197,68,7.35
2011-03-14,2011-03-20,2011-03-20,297,0,
2011-03-21,2011-03-27,2011-03-27,495,122,7.38
2011-03-28,2011-04-03,2011-04-03,406,104,7.69
2011-04-04,2011-04-10,2011-04-10,429,103,7.77
2011-04-11,2011-04-17,2011-04-17,375,0,
2011-04-18,2011-04-24,2011-04-24,537,172,7.56
2011-04-25,2011-05-01,2011-05-01,0,0,
2011-05-02,2011-05-08,2011-05-08,0,0,
2011-05-09,2011-05-15,2011-05-15,669,363,6.06
2011-05-16,2011-05-22,2011-05-22,0,0,
2011-05-23,2011-05-29,2011-05-29,522,0,
2011-05-30,2011-06-05,2011-06-05,464,245,7.76
2011-06-06,2011-06-12,2011-06-12,375,0,
2011-06-13,2011-06-19,2011-06-19,460,116,7.76
2011-06-20,2011-06-26,2011-06-26,394,149,7.38
2011-06-27,2011-07-03,2011-07-03,255,73,6.85
2011-07-04,2011-07-10,2011-07-10,580,0,
2011-07-11,2011-07-17,2011-07-17,0,0,
2011-07-18,2011-07-24,2011-07-24,580,132,7.58
2011-07-25,2011-07-31,2011-07-31,595,0,
2011-08-01,2011-08-07,2011-08-07,0,0,
2011-08-08,2011-08-14,2011-08-14,518,259,7.72
2011-08-15,2011-08-21,2011-08-21,816,0,
2011-08-22,2011-08-28,2011-08-28,909,0,
2011-08-29,2011-09-04,2011-09-04,731,465,7.96
2011-09-05,2011-09-11,2011-09-11,487,294,4.76
2011-09-12,2011-09-18,2011-09-18,541,0,
2011-09-19,2011-09-25,2011-09-25,696,0,
2018-05-18,2018-07-08,2018-07-08,57,5,0.0
2018-07-02,2018-07-08,2018-07-08,72,28,3.57
2018-06-25,2018-07-01,2018-07-01,20,7,0.0
2018-05-14,2018-05-20,2018-05-20,81,51,1.96
2018-05-21,2018-05-27,2018-05-27,64,35,2.86
2018-05-28,2018-06-03,2018-06-03,0,0,
2018-06-04,2018-06-10,2018-06-10,14,7,0.0
2018-06-11,2018-06-17,2018-06-17,0,0,
2018-06-18,2018-06-24,2018-06-24,0,0,
2010-05-01,2010-08-26,2010-08-26,41,0,
2018-11-18,2018-11-23,2018-11-23,46,22,0.0
2018-05-18,2018-10-29,2018-10-29,645,186,7.53
2018-10-23,2018-10-29,2018-10-29,75,0,
2018-05-18,2018-09-24,2018-09-24,367,175,8.0
2018-09-07,2018-09-24,2018-09-24,116,74,6.76
2018-05-18,2018-07-31,2018-07-31,120,50,8.0
2018-05-18,2018-08-09,2018-08-09,161,56,7.14
2018-08-06,2018-08-12,2018-08-12,73,0,
2018-05-18,2018-08-12,2018-08-12,101,61,1.64
2015-01-01,2015-01-07,2015-01-07,0,0,
2015-01-01,2015-12-28,2015-12-28,0,0,
2015-01-08,2015-01-14,2015-01-14,0,0,
2015-01-15,2015-01-21,2015-01-21,0,0,
2015-01-22,2015-01-28,2015-01-28,0,0,
2015-01-29,2015-02-04,2015-02-04,0,0,
2015-02-05,2015-03-11,2015-03-11,0,0,
2015-03-12,2015-03-18,2015-03-18,0,0,
2015-03-19,2015-03-25,2015-03-25,38,17,0.0
2015-03-26,2015-04-01,2015-04-01,0,0,
2015-04-02,2015-04-08,2015-04-08,28,0,
2015-04-09,2015-04-15,2015-04-15,0,0,
2015-04-16,2015-04-22,2015-04-22,0,0,
2015-04-23,2015-04-29,2015-04-29,0,0,
2015-04-30,2015-05-06,2015-05-06,174,117,1.71
2015-05-07,2015-05-13,2015-05-13,0,0,
2015-05-14,2015-05-20,2015-05-20,53,0,
2015-05-21,2015-05-27,2015-05-27,0,0,
2015-05-28,2015-06-03,2015-06-03,0,0,
2015-06-04,2015-06-10,2015-06-10,77,31,0.0
2015-06-11,2015-06-17,2015-06-17,0,0,
2015-06-18,2015-06-24,2015-06-24,28,0,
2015-06-25,2015-07-01,2015-07-01,0,0,
2015-07-02,2015-07-08,2015-07-08,0,0,
2015-07-09,2015-07-15,2015-07-15,33,0,
2015-07-16,2015-07-22,2015-07-22,0,0,
2015-07-23,2015-07-29,2015-07-29,80,27,3.7
2015-07-30,2015-08-05,2015-08-05,27,14,0.0
2015-08-06,2015-08-12,2015-08-12,0,0,
2015-08-13,2015-08-19,2015-08-19,60,14,0.0
2015-08-20,2015-08-26,2015-08-26,102,37,5.41
2015-08-27,2015-09-02,2015-09-02,21,8,0.0
2015-09-03,2015-09-09,2015-09-09,0,0,
2015-09-10,2015-09-16,2015-09-16,66,18,0.0
2015-09-17,2015-09-23,2015-09-23,0,0,
2015-09-24,2015-09-30,2015-09-30,0,0,
2015-10-01,2015-10-07,2015-10-07,51,0,
2015-10-08,2015-10-14,2015-10-14,0,0,
2015-10-15,2015-10-21,2015-10-21,47,20,0.0
2015-10-22,2015-10-28,2015-10-28,22,11,0.0
2015-10-29,2015-11-04,2015-11-04,35,14,0.0
2015-11-05,2015-11-11,2015-11-11,24,11,0.0
2015-11-12,2015-11-18,2015-11-18,0,0,
2015-11-19,2015-11-25,2015-11-25,49,16,0.0
2015-11-26,2015-12-02,2015-12-02,14,0,
2015-12-03,2015-12-09,2015-12-09,0,0,
2015-12-10,2015-12-16,2015-12-16,30,12,0.0
2015-12-17,2015-12-23,2015-12-23,0,0,
2015-12-24,2015-12-30,2015-12-30,43,0,
2015-12-31,2016-01-06,2016-01-06,0,0,
2016-01-01,2016-12-28,2016-12-28,42,0,
2016-01-07,2016-01-13,2016-01-13,0,0,
2016-01-14,2016-01-20,2016-01-20,0,0,
2016-01-21,2016-01-27,2016-01-27,0,0,
2016-01-28,2016-02-03,2016-02-03,0,0,
2016-02-04,2016-02-10,2016-02-10,0,0,
2016-02-11,2016-02-17,2016-02-17,0,0,
2016-02-18,2016-02-24,2016-02-24,0,0,
2016-02-25,2016-03-02,2016-03-02,0,0,
2016-03-03,2016-03-09,2016-03-09,0,0,
2016-03-10,2016-03-16,2016-03-16,0,0,
2016-03-17,2016-03-23,2016-03-23,0,0,
2016-03-24,2016-03-30,2016-03-30,0,0,
2016-03-31,2016-04-06,2016-04-06,2,1,0.0
2016-04-07,2016-04-13,2016-04-13,0,0,
2016-04-14,2016-04-20,2016-04-20,0,0,
2016-04-21,2016-04-27,2016-04-27,0,0,
2016-04-28,2016-05-04,2016-05-04,60,23,0.0
2016-05-05,2016-05-11,2016-05-11,21,0,
2016-05-12,2016-05-18,2016-05-18,0,0,
2016-05-19,2016-05-25,2016-05-25,0,0,
2016-05-26,2016-06-01,2016-06-01,0,0,
2016-06-02,2016-06-08,2016-06-08,0,0,
2016-06-09,2016-06-15,2016-06-15,0,0,
2016-06-16,2016-06-22,2016-06-22,0,0,
2016-06-23,2016-06-29,2016-06-29,0,0,
2016-06-30,2016-07-06,2016-07-06,0,0,
2016-07-07,2016-07-13,2016-07-13,0,0,
2016-07-14,2016-07-20,2016-07-20,98,40,0.0
2016-07-21,2016-07-27,2016-07-27,0,0,
2016-07-28,2016-08-03,2016-08-03,67,28,3.57
2016-08-04,2016-08-10,2016-08-10,65,20,5.0
2016-08-11,2016-08-17,2016-08-17,0,0,
2016-08-18,2016-08-24,2016-08-24,92,0,
2016-08-25,2016-08-31,2016-08-31,0,0,
2016-09-01,2016-09-07,2016-09-07,0,0,
2016-09-08,2016-09-14,2016-09-14,0,0,
2016-09-15,2016-09-21,2016-09-21,39,0,
2016-09-22,2016-09-28,2016-09-28,0,0,
2016-09-29,2016-10-05,2016-10-05,0,0,
2016-10-06,2016-10-12,2016-10-12,0,0,
2016-10-13,2016-10-19,2016-10-19,0,0,
2016-10-20,2016-10-26,2016-10-26,32,0,
2016-10-27,2016-11-02,2016-11-02,0,0,
2016-11-03,2016-11-09,2016-11-09,0,0,
2016-11-10,2016-11-16,2016-11-16,33,15,0.0
2016-11-17,2016-11-23,2016-11-23,94,0,
2016-11-24,2016-11-30,2016-11-30,62,0,
2016-12-01,2016-12-07,2016-12-07,59,14,0.0
2016-12-08,2016-12-14,2016-12-14,0,0,
2016-12-15,2016-12-21,2016-12-21,0,0,
2016-12-22,2016-12-28,2016-12-28,0,0,
2018-01-01,2018-01-07,2018-01-07,0,0,
2018-01-08,2018-01-14,2018-01-14,0,0,
2018-01-15,2018-01-21,2018-01-21,0,0,
2018-01-22,2018-01-28,2018-01-28,0,0,
2018-01-29,2018-02-04,2018-02-04,0,0,
2018-02-05,2018-02-11,2018-02-11,0,0,
2018-02-12,2018-02-18,2018-02-18,1,0,
2018-02-19,2018-02-25,2018-02-25,0,0,
2018-02-26,2018-03-04,2018-03-04,0,0,
2018-03-05,2018-03-11,2018-03-11,0,0,
2018-03-12,2018-03-18,2018-03-18,3,0,
2018-03-19,2018-03-25,2018-03-25,0,0,
2018-03-26,2018-04-01,2018-04-01,54,36,2.78
2018-04-02,2018-04-08,2018-04-08,12,0,
2018-04-09,2018-04-15,2018-04-15,0,0,
2018-04-16,2018-04-22,2018-04-22,6,3,0.0
2018-04-23,2018-04-29,2018-04-29,0,0,
2018-04-30,2018-05-06,2018-05-06,0,0,
2018-05-07,2018-05-13,2018-05-13,18,0,
2018-07-09,2018-07-15,2018-07-15,5,0,
2018-07-16,2018-07-22,2018-07-22,70,45,0.0
2018-07-23,2018-07-29,2018-07-29,95,43,2.33
2018-07-30,2018-08-05,2018-08-05,38,11,0.0
2018-08-13,2018-08-19,2018-08-19,52,0,
2018-08-27,2018-09-02,2018-09-02,38,24,4.17
2018-09-03,2018-09-09,2018-09-09,28,0,
2018-09-10,2018-09-16,2018-09-16,51,0,
2018-09-17,2018-09-23,2018-09-23,245,130,3.08
2018-09-24,2018-09-30,2018-09-30,52,32,0.0
2018-10-01,2018-10-07,2018-10-07,56,16,0.0
2018-10-08,2018-10-14,2018-10-14,0,0,
2018-10-15,2018-10-21,2018-10-21,99,0,
2018-10-22,2018-10-28,2018-10-28,102,0,
2018-10-29,2018-11-04,2018-11-04,101,0,
2018-11-05,2018-11-11,2018-11-11,0,0,
2018-11-12,2018-11-18,2018-11-18,51,0,
2018-11-19,2018-11-25,2018-11-25,33,14,0.0
2018-11-26,2018-12-02,2018-12-02,22,0,
2018-12-03,2018-12-09,2018-12-09,47,27,3.7
2018-12-10,2018-12-16,2018-12-16,0,0,
2018-12-17,2018-12-23,2018-12-23,32,20,0.0
2018-12-24,2018-12-30,2018-12-30,0,0,
2018-12-31,2019-01-06,2019-01-06,0,0,
2019-01-07,2019-01-13,2019-01-13,26,0,
2019-01-14,2019-01-20,2019-01-20,14,5,0.0
2019-01-21,2019-01-27,2019-01-27,25,15,0.0
2019-01-28,2019-02-03,2019-02-03,50,21,0.0
2019-02-04,2019-02-10,2019-02-10,0,0,
2019-02-11,2019-02-17,2019-02-17,0,0,
2019-02-18,2019-02-24,2019-02-24,22,5,0.0
2019-02-25,2019-03-03,2019-03-03,31,19,0.0
2019-03-04,2019-03-10,2019-03-10,62,30,0.0
2019-03-11,2019-03-17,2019-03-17,61,0,
2019-03-18,2019-03-24,2019-03-24,50,0,
2019-03-25,2019-03-31,2019-03-31,3,0,
2019-04-01,2019-04-07,2019-04-07,40,24,4.17
2019-04-08,2019-04-14,2019-04-14,51,26,3.85
2019-04-15,2019-04-21,2019-04-21,77,44,0.0
2019-04-22,2019-04-28,2019-04-28,58,15,0.0
2019-04-29,2019-05-05,2019-05-05,27,0,
2019-05-06,2019-05-12,2019-05-12,30,16,0.0
2019-05-13,2019-05-19,2019-05-19,0,0,
2019-05-20,2019-05-26,2019-05-26,54,15,0.0
2019-05-27,2019-06-02,2019-06-02,82,0,
2019-06-03,2019-06-09,2019-06-09,34,14,0.0
2019-06-17,2019-06-23,2019-06-23,53,0,
2019-06-24,2019-06-30,2019-06-30,65,25,0.0
2019-07-01,2019-07-07,2019-07-07,28,18,5.56
2019-07-08,2019-07-14,2019-07-14,28,0,
2019-07-15,2019-07-21,2019-07-21,68,26,0.0
2019-07-22,2019-07-28,2019-07-28,43,13,7.69
2019-07-29,2019-08-04,2019-08-04,35,20,5.0
2019-08-05,2019-08-11,2019-08-11,33,15,6.67
2019-08-12,2019-08-18,2019-08-18,28,17,0.0
2019-08-19,2019-08-25,2019-08-25,0,0,
2019-08-26,2019-09-01,2019-09-01,49,29,3.45
2019-09-02,2019-09-08,2019-09-08,69,17,5.88
2019-09-09,2019-09-15,2019-09-15,16,0,
2019-09-16,2019-09-22,2019-09-22,39,20,0.0
2019-09-23,2019-09-29,2019-09-29,28,12,0.0
2019-09-30,2019-10-06,2019-10-06,93,39,0.0
2019-10-07,2019-10-13,2019-10-13,82,52,1.92
2019-10-14,2019-10-20,2019-10-20,40,0,
2019-10-21,2019-10-27,2019-10-27,31,0,
2019-10-28,2019-11-03,2019-11-03,3,0,
2019-11-04,2019-11-10,2019-11-10,13,0,
2019-11-11,2019-11-17,2019-11-17,101,36,5.56
2019-11-18,2019-11-24,2019-11-24,44,24,4.17
2019-11-25,2019-12-01,2019-12-01,70,21,4.76
2019-12-02,2019-12-08,2019-12-08,62,29,3.45
2019-12-09,2019-12-15,2019-12-15,0,0,
2019-12-16,2019-12-22,2019-12-22,60,39,5.13
2019-12-23,2019-12-29,2019-12-29,49,0,
2021-01-04,2021-01-10,2021-01-10,0,0,
2021-01-04,2021-07-04,2021-07-04,50,26,3.85
2021-01-11,2021-01-17,2021-01-17,0,0,
2021-01-18,2021-01-24,2021-01-24,0,0,
2021-01-25,2021-01-31,2021-01-31,42,15,0.0
2021-02-01,2021-02-07,2021-02-07,44,26,3.85
2021-02-08,2021-02-14,2021-02-14,0,0,
2021-02-15,2021-02-21,2021-02-21,50,0,
2021-02-22,2021-02-28,2021-02-28,10,0,
2021-03-01,2021-03-07,2021-03-07,0,0,
2021-03-08,2021-03-14,2021-03-14,44,27,3.7
2021-03-15,2021-03-21,2021-03-21,0,0,
2021-03-22,2021-03-28,2021-03-28,0,0,
2021-03-29,2021-04-04,2021-04-04,0,0,
2021-04-05,2021-04-11,2021-04-11,0,0,
2021-04-12,2021-04-18,2021-04-18,0,0,
2021-04-19,2021-04-25,2021-04-25,28,16,0.0
2021-04-26,2021-05-02,2021-05-02,0,0,
2021-05-03,2021-05-09,2021-05-09,0,0,
2021-05-10,2021-05-16,2021-05-16,0,0,
2021-05-17,2021-05-23,2021-05-23,0,0,
2021-05-24,2021-05-30,2021-05-30,19,8,0.0
2021-05-31,2021-06-06,2021-06-06,0,0,
2021-06-07,2021-06-13,2021-06-13,0,0,
2021-06-14,2021-06-20,2021-06-20,0,0,
2021-06-21,2021-06-27,2021-06-27,0,0,
2021-06-28,2021-07-04,2021-07-04,0,0,
2021-07-05,2021-07-11,2021-07-11,0,0,
2021-07-12,2021-07-18,2021-07-18,14,6,0.0
2021-07-19,2021-07-25,2021-07-25,0,0,
2021-07-26,2021-08-01,2021-08-01,0,0,
2021-08-02,2021-08-08,2021-08-08,25,8,0.0
2021-08-09,2021-08-15,2021-08-15,0,0,
2021-08-16,2021-08-22,2021-08-22,0,0,
2021-08-23,2021-08-29,2021-08-29,0,0,
2021-08-30,2021-09-05,2021-09-05,0,0,
2021-09-06,2021-09-12,2021-09-12,0,0,
2021-09-13,2021-09-19,2021-09-19,61,18,0.0
2021-09-20,2021-09-26,2021-09-26,0,0,
2021-09-27,2021-10-03,2021-10-03,0,0,
2021-10-04,2021-10-10,2021-10-10,0,0,
2021-10-11,2021-10-17,2021-10-17,56,0,
2021-10-18,2021-10-24,2021-10-24,23,0,
2021-10-25,2021-10-31,2021-10-31,13,6,0.0
2021-11-01,2021-11-07,2021-11-07,84,0,
2021-11-08,2021-11-14,2021-11-14,34,11,0.0
2021-11-15,2021-11-21,2021-11-21,0,0,
2021-11-22,2021-11-28,2021-11-28,20,0,
2021-11-29,2021-12-05,2021-12-05,201,75,1.33
2021-12-06,2021-12-12,2021-12-12,108,0,
2021-12-13,2021-12-19,2021-12-19,64,0,
2021-12-20,2021-12-26,2021-12-26,0,0,
2021-12-27,2022-01-02,2022-01-02,192,103,0.97
2022-01-03,2022-01-09,2022-01-09,94,0,
2022-01-03,2023-01-01,2023-01-01,14029,0,
2022-01-10,2022-01-16,2022-01-16,0,0,
2022-01-17,2022-01-23,2022-01-23,128,59,1.69
2022-01-24,2022-01-30,2022-01-30,182,0,
2022-01-31,2022-02-06,2022-02-06,236,0,
2022-02-07,2022-02-13,2022-02-13,128,0,
2022-02-14,2022-02-20,2022-02-20,148,77,0.0
2022-02-21,2022-02-27,2022-02-27,231,0,
2022-02-28,2022-03-06,2022-03-06,192,125,3.2
2022-03-07,2022-03-13,2022-03-13,212,57,1.75
2022-03-14,2022-03-20,2022-03-20,556,0,
2022-03-21,2022-03-27,2022-03-27,1403,854,0.7
2022-03-28,2022-04-03,2022-04-03,994,559,2.33
2022-04-04,2022-04-10,2022-04-10,665,0,
2022-04-11,2022-04-17,2022-04-17,610,359,0.84
2022-04-18,2022-04-24,2022-04-24,492,0,
2022-04-25,2022-05-01,2022-05-01,458,264,1.89
2022-05-02,2022-05-08,2022-05-08,409,162,1.23
2022-05-09,2022-05-15,2022-05-15,320,153,2.61
2022-05-16,2022-05-22,2022-05-22,271,178,2.25
2022-05-23,2022-05-29,2022-05-29,463,0,
2022-05-30,2022-06-05,2022-06-05,330,121,2.48
2022-06-06,2022-06-12,2022-06-12,0,0,
2022-06-13,2022-06-19,2022-06-19,217,54,1.85
2022-06-20,2022-06-26,2022-06-26,236,0,
2022-06-27,2022-07-03,2022-07-03,310,191,1.05
2022-07-04,2022-07-10,2022-07-10,158,0,
2022-07-11,2022-07-17,2022-07-17,158,0,
2022-07-18,2022-07-24,2022-07-24,182,0,
2022-07-25,2022-07-31,2022-07-31,0,0,
2022-08-01,2022-08-07,2022-08-07,0,0,
2022-08-08,2022-08-14,2022-08-14,172,61,3.28
2022-08-15,2022-08-21,2022-08-21,340,0,
2022-08-22,2022-08-28,2022-08-28,399,205,2.44
2022-08-29,2022-09-04,2022-09-04,5,0,
2022-09-05,2022-09-11,2022-09-11,300,140,1.43
2022-09-12,2022-09-18,2022-09-18,256,0,
2022-09-19,2022-09-25,2022-09-25,271,128,4.69
2022-09-26,2022-10-02,2022-10-02,207,116,2.59
2022-10-03,2022-10-09,2022-10-09,290,0,
2022-10-10,2022-10-16,2022-10-16,225,0,
2022-10-17,2022-10-23,2022-10-23,161,62,4.84
2022-10-24,2022-10-30,2022-10-30,128,0,
2022-10-31,2022-11-06,2022-11-06,165,88,1.14
2022-11-07,2022-11-13,2022-11-13,0,0,
2022-11-14,2022-11-20,2022-11-20,73,21,4.76
2022-11-21,2022-11-27,2022-11-27,83,50,2.0
2022-11-28,2022-12-04,2022-12-04,0,0,
2022-12-05,2022-12-11,2022-12-11,26,16,0.0
2022-12-12,2022-12-18,2022-12-18,36,18,0.0
2022-12-19,2022-12-25,2022-12-25,105,26,3.85
2022-12-26,2023-01-01,2023-01-01,35,20,5.0
2018-12-07,2018-12-14,2018-12-14,0,0,
2018-05-18,2019-05-15,2019-05-15,1060,97,7.22
2019-03-01,2019-03-31,2019-03-31,0,0,
2010-04-01,2010-10-25,2010-10-25,8528,0,
2018-05-18,2018-07-26,2018-07-26,0,0,
2018-05-18,2018-09-17,2018-09-17,310,188,7.98
2011-01-01,2011-08-31,2011-08-31,14730,6056,7.99
2018-05-18,2018-08-13,2018-08-13,168,17,5.88
2018-05-18,2018-09-28,2018-09-28,0,0,
2018-05-18,2020-01-26,2020-01-26,2226,988,8.0
2018-05-18,2020-01-20,2020-01-20,2222,520,7.88
2010-05-06,2010-10-03,2010-10-03,7869,0,
2018-05-18,2018-09-03,2018-09-03,251,23,4.35
2018-08-10,2018-09-03,2018-09-03,90,54,7.41
2018-08-31,2018-09-03,2018-09-03,0,0,
1971-01-01,1971-12-31,1971-12-31,2167,1001,7.99
1972-01-01,1972-12-31,1972-12-31,0,0,
1973-01-01,1973-12-31,1973-12-31,206,0,
1974-01-01,1974-12-31,1974-12-31,0,0,
1975-01-01,1975-12-31,1975-12-31,0,0,
1976-01-01,1976-12-31,1976-12-31,135,52,7.69
1978-01-01,1978-12-31,1978-12-31,25,8,0.0
1979-01-01,1979-12-31,1979-12-31,16,8,0.0
1980-01-01,1980-12-31,1980-12-31,229,0,
1981-01-01,1981-12-31,1981-12-31,0,0,
1982-01-01,1982-12-31,1982-12-31,8,4,0.0
1983-01-01,1983-12-31,1983-12-31,55,30,6.67
1984-01-01,1984-12-31,1984-12-31,392,137,7.3
1985-01-01,1985-12-31,1985-12-31,1158,0,
1986-01-01,1986-12-31,1986-12-31,165,0,
1987-01-01,1987-12-31,1987-12-31,94,0,
1988-01-01,1988-12-31,1988-12-31,26,6,0.0
1989-01-01,1989-12-31,1989-12-31,23,11,0.0
1990-01-01,1990-12-31,1990-12-31,32,0,
1991-01-01,1991-12-31,1991-12-31,4026,1910,7.96
1992-01-01,1992-12-31,1992-12-31,1268,471,7.86
1993-01-01,1993-12-31,1993-12-31,0,0,
1994-01-01,1994-12-31,1994-12-31,527,255,7.84
1995-01-01,1995-12-31,1995-12-31,615,292,7.19
1996-01-01,1996-12-31,1996-12-31,5796,1773,7.95
1997-01-01,1997-12-31,1997-12-31,1709,798,7.89
1998-01-01,1998-12-31,1998-12-31,4603,0,
1999-01-01,1999-12-31,1999-12-31,1584,527,6.64
2000-01-01,2000-12-31,2000-12-31,123,0,
2001-01-01,2001-12-31,2001-12-31,259,68,7.35
2002-01-01,2002-12-31,2002-12-31,66,20,5.0
2003-01-01,2003-12-31,2003-12-31,207,96,7.29
2004-01-01,2004-12-31,2004-12-31,230,0,
2005-01-01,2005-12-31,2005-12-31,2847,1138,8.0
2006-01-01,2006-12-31,2006-12-31,922,0,
2007-01-01,2007-12-31,2007-12-31,50,23,4.35
2008-01-01,2008-12-31,2008-12-31,0,0,
2009-01-01,2009-12-31,2009-12-31,804,0,
2010-01-01,2010-12-31,2010-12-31,10759,5572,7.99
2011-01-01,2011-12-31,2011-12-31,22433,0,
2012-01-01,2012-12-31,2012-12-31,363,169,2.96
2013-01-01,2013-12-31,2013-12-31,38,0,
2014-01-01,2014-12-31,2014-12-31,3355,1391,7.98
2015-01-01,2015-12-31,2015-12-31,0,0,
2017-01-01,2017-12-31,2017-12-31,59,0,
2018-01-01,2018-12-31,2018-12-31,1052,638,7.99
2019-01-01,2019-12-31,2019-12-31,1840,916,7.97
2020-01-01,2020-12-31,2020-12-31,1890,0,
2021-01-01,2021-12-31,2021-12-31,728,0,
2022-01-01,2022-12-31,2022-12-31,14431,4978,5.6
2023-01-01,2023-12-31,2023-12-31,6470,4984,4.19
2018-05-18,2018-10-16,2018-10-16,507,46,6.52
2019-06-10,2019-06-16,2019-06-16,2,0,
2018-05-18,2018-10-23,2018-10-23,82,51,7.84
2018-05-18,2018-05-18,2018-05-18,0,0,
2018-05-13,2018-05-13,2018-05-13,0,0,
2018-05-14,2018-05-14,2018-05-14,0,0,
2018-05-15,2018-05-15,2018-05-15,0,0,
2018-05-16,2018-05-16,2018-05-16,0,0,
2018-05-17,2018-05-17,2018-05-17,0,0,
2018-05-19,2018-05-19,2018-05-19,41,0,
2018-05-20,2018-05-20,2018-05-20,50,20,0.0
2018-05-21,2018-05-21,2018-05-21,0,0,
2018-05-22,2018-05-22,2018-05-22,167,0,
2018-05-23,2018-05-23,2018-05-23,0,0,
2018-05-24,2018-05-24,2018-05-24,0,0,
2018-05-25,2018-05-25,2018-05-25,0,0,
2018-05-26,2018-05-26,2018-05-26,0,0,
2018-05-27,2018-05-27,2018-05-27,0,0,
2018-05-28,2018-05-28,2018-05-28,0,0,
2018-05-29,2018-05-29,2018-05-29,0,0,
2018-05-30,2018-05-30,2018-05-30,0,0,
2018-05-31,2018-05-31,2018-05-31,0,0,
2018-06-01,2018-06-01,2018-06-01,0,0,
2018-06-02,2018-06-02,2018-06-02,0,0,
2018-06-03,2018-06-03,2018-06-03,0,0,
2018-06-04,2018-06-04,2018-06-04,0,0,
2018-06-05,2018-06-05,2018-06-05,0,0,
2018-06-06,2018-06-06,2018-06-06,0,0,
2018-06-07,2018-06-07,2018-06-07,0,0,
2018-06-08,2018-06-08,2018-06-08,0,0,
2018-06-09,2018-06-09,2018-06-09,0,0,
2018-06-10,2018-06-10,2018-06-10,0,0,
2018-06-11,2018-06-11,2018-06-11,0,0,
2018-06-12,2018-06-12,2018-06-12,0,0,
2018-06-13,2018-06-13,2018-06-13,0,0,
2018-06-14,2018-06-14,2018-06-14,0,0,
2018-06-15,2018-06-15,2018-06-15,0,0,
2018-06-16,2018-06-16,2018-06-16,243,114,2.63
2018-06-17,2018-06-17,2018-06-17,0,0,
2018-06-18,2018-06-18,2018-06-18,0,0,
2018-06-19,2018-06-19,2018-06-19,0,0,
2018-06-20,2018-06-20,2018-06-20,0,0,
2018-06-21,2018-06-21,2018-06-21,0,0,
2018-06-22,2018-06-22,2018-06-22,0,0,
2018-06-23,2018-06-23,2018-06-23,0,0,
2018-06-24,2018-06-24,2018-06-24,0,0,
2018-06-25,2018-06-25,2018-06-25,24,16,0.0
